"1";"1";"get food ."
"1";"2";"put food in bowl or on plate ."
"1";"3";"get a spoon or fork ."
"1";"4";"use spoon or fork to get bites of food ."
"1";"5";"place spoon or fork into child s mouth ."
"2";"1";"locate an appropriate food for a child ."
"2";"2";"prepare the meal for the child ."
"2";"3";"deliver the meal to the child ."
"2";"4";"deliver silverware to the child ."
"3";"1";"locate appropriate food ."
"3";"2";"if finger food no utensils are needed ."
"3";"3";"present food to child ."
"4";"1";"cook the food ."
"4";"2";"put the food in a bowl ."
"4";"3";"give the food to child ."
"4";"4";"make sure the child eats ."
"5";"1";"prepare meal ."
"5";"2";"serve meal to child ."
"5";"3";"ensure child eats meal ."
"5";"4";"compliment child when finished ."
"5";"5";"clean dished ."
"6";"1";"clear the table ."
"6";"2";"set the table ."
"6";"3";"cook the food ."
"6";"4";"seat the child ."
"6";"5";"serve the child ."
"6";"6";"make sure the child is ok (not choking) ."
"7";"1";"prepare food ."
"7";"2";"serve it ."
"7";"3";"clean up ."
"8";"1";"get a child food can ."
"8";"2";"check the expiry date of the child food ."
"8";"3";"prepare as taught ."
"9";"1";"gather food ."
"9";"2";"prepare food ."
"9";"3";"sit child down ."
"9";"4";"feed child ."
"10";"1";"prepare food ."
"10";"2";"sit child down ."
"10";"3";"take spoon ."
"10";"4";"dip spoon in food ."
"10";"5";"place spoon in childs mouth ."
"11";"1";"prepare food ."
"11";"2";"sit child down ."
"11";"3";"take spoon ."
"11";"4";"dip spoon in food ."
"11";"5";"place spoon in childs mouth ."
"12";"1";"prepare food ."
"12";"2";"sit child down ."
"12";"3";"take spoon ."
"12";"4";"dip spoon in food ."
"12";"5";"place spoon in childs mouth ."
"13";"1";"prepare food ."
"13";"2";"sit child down ."
"13";"3";"take spoon ."
"13";"4";"dip spoon in food ."
"13";"5";"place spoon in childs mouth ."
"14";"1";"prepare food ."
"14";"2";"sit child down ."
"14";"3";"take spoon ."
"14";"4";"dip spoon in food ."
"14";"5";"place spoon in childs mouth ."
"15";"1";"buy ingredients at a store ."
"15";"2";"prepare ingredients ."
"15";"3";"cook ingredients ."
"15";"4";"put prepared food on plate ."
"15";"5";"use a spoon to feed it to child ."
"16";"1";"find out what food child needs ."
"16";"2";"prepare food child needs ."
"16";"3";"give prepared food to child ."
"16";"4";"ensure child consumes food ."
"16";"5";"monitor child for signs of choking ."
"17";"1";"take food ."
"17";"2";"feed into baby s mouth ."
"17";"3";"repeat ."
"18";"1";"prepare food to feed child ."
"18";"2";"food should not be hot ."
"18";"3";"food should be warm ."
"18";"4";"place child in high chair ."
"18";"5";"strap child in high chair ."
"18";"6";"place tray on high chair ."
"18";"7";"use child size spoon ."
"19";"1";"get food that the child can eat ."
"19";"2";"place food in front of child ."
"19";"3";"allow child to eat food or take small mouthsize servings with a utensil and serve to child ."
"20";"1";"pick food ."
