"1";"1";"hold the clothes ."
"1";"2";"straighten the clothes out ."
"1";"3";"fold the clothes neatly ."
"1";"4";"set in a different pile ."
"2";"1";"place clothes on a flat surface ."
"2";"2";"flatten the clothing ."
"2";"3";"bend the clothing over itself ."
"2";"4";"repeat until the desired shape appears ."
"3";"1";"take an item out of dryer or basket ."
"3";"2";"shake out the wrinkles ."
"3";"3";"lay the item down on something flat ."
"3";"4";"fold the item into a flat compact rectangular shape ."
"3";"5";"repeat ."
"4";"1";"remove an item of clothing from the hamper ."
"4";"2";"fold the item in half ."
"4";"3";"fold it in half again ."
"4";"4";"place the article of clothing in a pile ."
"4";"5";"place each pile in its appropriate drawer or shelf ."
"5";"1";"lay piece  of clothing on flat surface ."
"5";"2";"fold piece of clothing ."
"5";"3";"take next piece of clothing and repeat 1 and  2 ."
"6";"1";"take cloth and lat flat on bed ."
"6";"2";"fold and put aside ."
"7";"1";"take clothes one by one ."
"7";"2";"lay on flat surface ."
"7";"3";"fold into a regular shape ."
"8";"1";"find clean clothes ."
"8";"2";"pick up a piece of clothing ."
"8";"3";"fold the piece of clothing upon itselt into a rectangular shape ."
"8";"4";"place the folded clothing onto a stack ."
"8";"5";"repeat until all clothes are folded ."
"9";"1";"locate the unfolded clothes ."
"9";"2";"take one item at a time to fold ."
"9";"3";"fold each item neatly placing it aside ."
"10";"1";"locate improperly situated clothes ."
"10";"2";"gather clothes to one location ."
"10";"3";"organize each piece of clothing in a neat manner folding the clothes over on themselves ."
"10";"4";"store clothes in the appropriate location ."
"11";"1";"pick up piece of garment ."
"11";"2";"fold garment ."
"11";"3";"put garment on pile ."
"11";"4";"repeat for all garments ."
"12";"1";"locate clothes ."
"12";"2";"fold clothes ."
"13";"1";"fold the left side of the clothes ."
"13";"2";"fold the right side of the clothes ."
"13";"3";"fold the center of the cothes ."
"14";"1";"take clothes from dryer ."
"14";"2";"fold clothes ."
"14";"3";"put clothes away ."
"15";"1";"get clothes ."
"15";"2";"fold clothes ."
"16";"1";"fold clothes ."
"16";"2";"put them in the drawer ."
"17";"1";"hold corners ."
"18";"1";"remove clothes from dryer ."
"18";"2";"flod clothes ."
"18";"3";"place in closet ."
"19";"1";"fodl cothes ."
"20";"1";"iron clothes ."
"20";"2";"fold pant ."
"21";"1";"take clothes out of dryer ."
"21";"2";"fold clothes ."
"21";"3";"place in pile ."
"22";"1";"remove clothes from drier ."
"22";"2";"put on flat surface ."
"22";"3";"begin folding ."
"22";"4";"continue folding ."
"22";"5";"when done put on hangers ."
"22";"6";"take hangers to closet ."
"22";"7";"hang hangers ."
"23";"1";"remove clothes from drier ."
"23";"2";"put on flat surface ."
"23";"3";"begin folding ."
"23";"4";"continue folding ."
"23";"5";"when done put on hangers ."
"23";"6";"take hangers to closet ."
"23";"7";"hang hangers ."
"24";"1";"find a flat surface ."
"24";"2";"lay an item of clothing ."
"24";"3";"fold it in half ."
"24";"4";"fold in half once again ."
"24";"5";"pu tin a pile ."
"24";"6";"separate piles for different kinds of clothes ."
"24";"7";"repeat with each item ."
"25";"1";"hold item in front of you and shake ."
"25";"2";"place on a flat surface ."
"25";"3";"smooth out wrinkles with open hand ."
"25";"4";"bring edges of garment together to fold lengthwise ."
"25";"5";"bring edges of garment together to fold other way ."
"26";"1";"hold item in front of you and shake ."
"26";"2";"place on a flat surface ."
"26";"3";"smooth out wrinkles with open hand ."
"26";"4";"bring edges of garment together to fold lengthwise ."
"26";"5";"bring edges of garment together to fold other way ."
"27";"1";"hold item in front of you and shake ."
"27";"2";"place on a flat surface ."
"27";"3";"smooth out wrinkles with open hand ."
"27";"4";"bring edges of garment together to fold lengthwise ."
"27";"5";"bring edges of garment together to fold other way ."
"28";"1";"hold item in front of you and shake ."
"28";"2";"place on a flat surface ."
"28";"3";"smooth out wrinkles with open hand ."
"28";"4";"bring edges of garment together to fold lengthwise ."
"28";"5";"bring edges of garment together to fold other way ."
