"1";"1";"get food ."
"1";"2";"put in microwave ."
"1";"3";"set timer according to food type ."
"1";"4";"press start ."
"1";"5";"wait for timer ."
"1";"6";"remove food ."
"2";"1";"place food in microwave ."
"2";"2";"close door ."
"2";"3";"set timer for appropriate setting for food ."
"2";"4";"press start ."
"2";"5";"wait for timer ."
"2";"6";"remove food ."
"3";"1";"put food in the microwave ."
"3";"2";"close the door ."
"3";"3";"set the timer ."
"3";"4";"set the power level ."
"3";"5";"push start ."
"3";"6";"when done open the door ."
"3";"7";"take food out of microwave ."
"4";"1";"keep food in microwavable utensil ."
"4";"2";"press button to open microwave ."
"4";"3";"keep the utensil in microwave ."
"4";"4";"close the microwave ."
"4";"5";"set the timer ."
"4";"6";"press the start button and wait ."
"4";"7";"after the beep open microwave ."
"5";"1";"put food in the microwave ."
"5";"2";"set time ."
"5";"3";"push start ."
"6";"1";"put food into the microwave ."
"6";"2";"turn on the microwave ."
"6";"3";"wait until it s finished heating ."
"6";"4";"take out the food ."
"7";"1";"locate food to heat ."
"7";"2";"place food in microwavable safe ware ."
"7";"3";"place food in microwave ."
"7";"4";"turn microwave on ."
"7";"5";"remove food from microwave ."
"8";"1";"find food ."
"8";"2";"find microwave ."
"8";"3";"open microwave door ."
"8";"4";"put food in microwave ."
"8";"5";"close microwave door ."
"8";"6";"enter cooking time on microwave keypad ."
"8";"7";"press start button ."
"9";"1";"take food ."
"9";"2";"walk to the microwave ."
"9";"3";"open microwave door ."
"9";"4";"put food in ."
"9";"5";"close microwave door ."
"9";"6";"set desired time on the microwave ."
"9";"7";"press start on the microwave ."
"10";"1";"place food in microwave ."
"10";"2";"set time on microwave ."
"10";"3";"start microwave ."
"11";"1";"open microwave ."
"11";"2";"put food on a microwave safe plate ."
"11";"3";"select power level and time ."
"11";"4";"turn on oven ."
"12";"1";"put food in microwave ."
"12";"2";"set power level ."
"12";"3";"set timer ."
"12";"4";"turn on microwave ."
"13";"1";"put the food in a microwave safe container ."
