"1";"1";"gather dirty clothes ."
"1";"2";"fill washing machine with dirty clothes ."
"1";"3";"turn on washing machine ."
"1";"4";"when washing machine is done take out clothes ."
"1";"5";"put clothes in dryer ."
"1";"6";"turn on dryer ."
"1";"7";"when dryer is done take out clothes ."
"2";"1";"gather dirty laundry ."
"2";"2";"take dirty laundry to washing machine ."
"2";"3";"put laundry inside ."
"2";"4";"add detergent ."
"2";"5";"select washing program ."
"2";"6";"turn on machine ."
"2";"7";"wait for cloths to wash; remove ."
"3";"1";"collect dirty clothes ."
"3";"2";"put in laundry machine ."
"3";"3";"pour out detergent ."
"3";"4";"activate ."
"3";"5";"put clothes in dryer ."
"3";"6";"wait 1 hour ."
"3";"7";"collect clothes ."
"4";"1";"find dirty laundry ."
"4";"2";"pick up dirty laundry ."
"4";"3";"find clothes washing machine ."
"4";"4";"place clothes into washing machine ."
"4";"5";"add laundry soap to washing machine ."
"4";"6";"turn on washing machine ."
"5";"1";"gather laundry in basket ."
"5";"2";"separate laundry into piles ."
"5";"3";"put proper amount of detergent into washer ."
"5";"4";"do not wash white clothes with colored clothes ."
"5";"5";"wash towels on hot and other clothes on cold ."
"6";"1";"find dirty laundry ."
"6";"2";"pick up dirty laundry ."
"6";"3";"place dirty laundry in washing machine ."
"6";"4";"pour some laundry soap in the washing machine ."
"6";"5";"press button on washing machine to start the wash cycle ."
"7";"1";"find dirty clothes ."
"7";"2";"find a laundry tub ."
"7";"3";"fill the laundry tub with warm water ."
"7";"4";"mix laundry soap into the water ."
"7";"5";"scrub a piece of clothing in the tub until it is clean ."
"7";"6";"repeat until all clothes are clean ."
"8";"1";"pick the dirt clothes ."
"8";"2";"go to the laundry room ."
"8";"3";"separate the laundry by color ."
"8";"4";"separate the laundry by type ."
"8";"5";"put a group in the washer ."
"8";"6";"turn on the washer ."
"8";"7";"go to step 5 ."
"9";"1";"open washing machine ."
"9";"2";"pour one-half cup of deterget into washing machine ."
"9";"3";"place soiled clothes in washing machine ."
"9";"4";"close washing machine lid ."
"9";"5";"start washer ."
"10";"1";"need dirty clothes ."
"10";"2";"need washing machine ."
"10";"3";"put clothes in machine ."
"10";"4";"dry clothes ."
"11";"1";"gather dirty clothes ."
"11";"2";"open washing machine ."
"11";"3";"place dirty clothes in washing machine ."
"11";"4";"place detergent in washing machine ."
"11";"5";"close washing machine ."
"11";"6";"start washing machine ."
"12";"1";"gather the dirty laundry ."
"12";"2";"set the washing machine ."
"12";"3";"start the water running ."
"12";"4";"add soap ."
"12";"5";"check pockets for change ."
"12";"6";"add laundry ."
"12";"7";"move to dryer after wash is completed ."
"13";"1";"gather the dirty clothes ."
"13";"2";"put clothes in washer ."
"13";"3";"add detergent ."
"13";"4";"run washer ."
"13";"5";"move clothes from washer to dryer when done ."
"13";"6";"turn on dryer ."
"13";"7";"empty dryer when done ."
"14";"1";"collect dirty clothes ."
"14";"2";"separate lights from darks ."
"14";"3";"put clothes in machine ."
"14";"4";"choose water temperature ."
"14";"5";"choose cycle length ."
"14";"6";"turn on machine ."
"14";"7";"add soap and bleach ."
"15";"1";"turn the washing machine on ."
"15";"2";"put liquid detergent ."
"15";"3";"add the dirty clothes ."
"15";"4";"close the  cover of the washing machine ."
"16";"1";"insert laundry in washing machine ."
"16";"2";"insert detergent ."
"16";"3";"turn on washing machine ."
"16";"4";"close lid ."
"18";"1";"gather dirty clothing ."
"18";"2";"open washer ."
"18";"3";"start wash cycle ."
"18";"4";"add laundry detergent ."
"18";"5";"add clothing ."
"18";"6";"close washer ."
"18";"7";"remove clothes from washer and hang to dry ."
"20";"1";"get laundry ."
"20";"2";"process laundry ."
"21";"1";"get laundry ."
"21";"2";"wash laundry ."
"21";"3";"dry laundry ."
"21";"4";"put laundry away ."
"23";"1";"sort clothes by colours ."
"23";"2";"load washer ."
"23";"3";"run wash cycle ."
"23";"4";"move to dryer ."
"23";"5";"run dryer cycle ."
"23";"6";"fold laudry ."
"24";"1";"put dirty clothes in washer ."
"24";"2";"put detergent in washer ."
"24";"3";"turn laundry on ."
"24";"4";"wait for wash cycle to finish ."
"24";"5";"put wet clothes in dryer ."
"24";"6";"turn dryer on ."
"24";"7";"wait for dryer to finish and get clothes ."
"25";"1";"open washing machine ."
"25";"2";"put in laundry ."
"25";"3";"close door ."
"25";"4";"open powder drawer ."
"25";"5";"put in required powder amount ."
"25";"6";"close drawer ."
"25";"7";"set program and turn on washing machine ."
"26";"1";"move clothes from laundry hamper to inside the washing machine ."
"26";"2";"pour 1 measure of powder/liquid soap into washing machine ."
"26";"3";"close lid ."
"26";"4";"rotate 'wash cycle' knob to start ."
"27";"1";"separate clothes by color ."
"27";"2";"put clothes in washer or sink/tub ."
"27";"3";"wash items ."
"27";"4";"put items in dryer or clothes line ."
"27";"5";"let clothes dry ."
"28";"1";"place laundry in washer ."
"28";"2";"select program ."
"28";"3";"add detergent ."
"28";"4";"start washer ."
"29";"1";"sort laundry ."
"29";"2";"turn on washer ."
"29";"3";"add detergent ."
"29";"4";"put clothes into washer close lid ."
"29";"5";"when finished put clothes in dryer ."
"29";"6";"when dryer finished fold clothes ."
"29";"7";"put clothes away ."
"44";"1";"get clothes ."
"44";"2";"put clothes into washer ."
"44";"3";"add detergent ."
"44";"4";"add cloth softener ."
"44";"5";"close lid ."
"44";"6";"change settings ."
"44";"7";"turn on ."
"45";"1";"place laundry into washer ."
"45";"2";"add detergent ."
"45";"3";"turn on washer ."
"53";"1";"find dirty clothes ."
"53";"2";"put dirty clothes in basket ."
"53";"3";"take clothes to washing machine ."
"53";"4";"put clothes in washing machine ."
"53";"5";"add laundry detergent ."
"53";"6";"set washing machine to desired setting ."
"53";"7";"turn on washing machine ."
"55";"1";"get dirty clothes ."
"55";"2";"start washer ."
"55";"3";"put in detergent ."
"55";"4";"put in clothes ."
"55";"5";"after washed hang clothes to dry ."
"55";"6";"fold clothes ."
