"1";"1";"locate vcr or dvd player ."
"1";"2";"get tape or dvd ."
"1";"3";"insert tape or dvd ."
"1";"4";"press play ."
"2";"1";"find a movie casette or disc ."
"2";"2";"place movie casette or disc into movie playing device ."
"2";"3";"turn playing device on ."
"2";"4";"press the playing device s play button ."
"3";"1";"turn on the dvd player ."
"3";"2";"turn on the television ."
"3";"3";"put the dvd into the dvd player ."
"3";"4";"connect the dvd player to the television ."
"3";"5";"set the television for dvd player input ."
"3";"6";"press play on the dvd player remote ."
"4";"1";"get movie ."
"4";"2";"insert movie into player ."
"4";"3";"press play ."
"5";"1";"get movie ."
"5";"2";"place movie into player ."
"5";"3";"start player ."
"6";"1";"put tape into videoplayer ."
"6";"2";"turn on tv on video channel ."
"6";"3";"press start on videoplayer ."
"7";"1";"insert movie into player ."
"7";"2";"turn on tv ."
"7";"3";"start movie player ."
"8";"1";"turn the dvd player on ."
"8";"2";"put movie in dvd player ."
"8";"3";"turn the tv on ."
"8";"4";"put appropriate channel ."
"8";"5";"press play ."
"9";"1";"extract movie media from case ."
"9";"2";"insert movie media into player ."
"9";"3";"press play ."
"9";"4";"turn on tv if needed ."
"10";"1";"locate movie ."
"10";"2";"locate dvd player ."
"10";"3";"turn on dvd player ."
"10";"4";"insert movie into dvd player ."
"10";"5";"press play ."
"11";"1";"select movie to play ."
"11";"2";"determine media of movie ."
"11";"3";"put movie in vhs player or dvd player ."
"11";"4";"press start ."
"11";"5";"switch television set op ."
"12";"1";"find dvd ."
"12";"2";"put dvd into dvd player ."
"12";"3";"press the play button on the dvd player ."
"13";"1";"find movie ."
"13";"2";"remove movie from case ."
"13";"3";"put movie in player ."
"13";"4";"start movie ."
"13";"5";"watch movie ."
"13";"6";"rewind movie (if necessary) ."
"13";"7";"put movie away ."
"14";"1";"acquire a dvd or vhs tape ."
"14";"2";"put the tape or dvd in the player ."
"14";"3";"push the play button ."
"15";"1";"remove movie from box ."
"15";"2";"turn on player ."
"15";"3";"insert movie into player ."
"15";"4";"turn on tv ."
"15";"5";"press play button on player ."
"16";"1";"put the movie in a player ."
"16";"2";"press on to start playing the movie ."
"17";"1";"choose a movie ."
"17";"2";"put the movie in the player ."
"17";"3";"turn the player on ."
"17";"4";"press the play button on the player ."
"18";"1";"buy/rent dvd ."
"18";"2";"take it home ."
"18";"3";"turn on tv ."
"18";"4";"turn on dvd player ."
"18";"5";"put dvd in dvd player ."
"18";"6";"press play ."
"18";"7";"select 'watch movie' from the menu ."
"19";"1";"buy/rent dvd ."
"19";"2";"take it home ."
"19";"3";"turn on tv ."
"19";"4";"turn on dvd player ."
"19";"5";"put dvd in dvd player ."
"19";"6";"press play ."
"19";"7";"select 'watch movie' from the menu ."
"20";"1";"put movie in dvd player ."
"20";"2";"push the play button ."
"21";"1";"put movie in dvd player ."
"21";"2";"push the play button ."
"22";"1";"turn on tv ."
"22";"2";"turn on player ."
"22";"3";"insert movie ."
"22";"4";"press play ."
"23";"1";"insert  movie into player ."
"23";"2";"turn on player ."
"23";"3";"hit play ."
"24";"1";"choose a movie ."
"24";"2";"open the movie case ."
"24";"3";"remove movie from case ."
"24";"4";"turn dvd player on ."
"24";"5";"open dvd tray ."
"24";"6";"insert movie ."
"24";"7";"close tray ."
"25";"1";"open dvd player door ."
"25";"2";"insert dvd ."
"25";"3";"close dvd playe door ."
"25";"4";"turn on tv ."
"26";"1";"put movie in dvd player ."
"26";"2";"press play ."
"27";"1";"remove movie dvd from case ."
"27";"2";"place dvd in tray in dvd player ."
"27";"3";"turn tv to channel 3 ."
"27";"4";"press play ."
"27";"5";"when menu shows select 'play movie' ."
"28";"1";"turn on dvd player ."
"28";"2";"take movie out of sleeve ."
"28";"3";"put into dvd player ."
"28";"4";"close disc drawer ."
"28";"5";"press play on dvd player ."
"29";"1";"insert dvd ."
"29";"2";"select play ."
"30";"1";"insert dvd ."
"30";"2";"select play ."
"31";"1";"insert dvd ."
"31";"2";"select play ."
"32";"1";"insert dvd ."
"32";"2";"select play ."
"33";"1";"insert dvd ."
"33";"2";"select play ."
"34";"1";"insert dvd ."
"34";"2";"select play ."
"35";"1";"turn on dvd player ."
"35";"2";"insert dvd into dvd player ."
"35";"3";"close dvd tray ."
"35";"4";"turn on tv ."
"35";"5";"switch to dvd mode ."
"35";"6";"push play ."
"36";"1";"turn on dvd player ."
"36";"2";"insert dvd into dvd player ."
"36";"3";"close dvd tray ."
"36";"4";"turn on tv ."
"36";"5";"switch to dvd mode ."
"36";"6";"push play ."
"37";"1";"turn on dvd player ."
"37";"2";"insert dvd into dvd player ."
"37";"3";"close dvd tray ."
"37";"4";"turn on tv ."
"37";"5";"switch to dvd mode ."
"37";"6";"push play ."
"38";"1";"turn on dvd player ."
