"1";"1";"sit at a piano ."
"1";"2";"press the piano s keys with your fingers ."
"2";"1";"locate a piece of music suitable for a piano ."
"2";"2";"read the music ."
"2";"3";"locate a piano ."
"2";"4";"open and place the music on the piano ."
"2";"5";"read the music and hit the corresponding keys on the piano s surface ."
"3";"1";"identify and find a piano ."
"3";"2";"sit on a bench placed in the front of the piano ."
"3";"3";"place your hand over the keyboard ."
"3";"4";"press with your fingers the appropriate keys in order to play a melody ."
"4";"1";"find piano ."
"4";"2";"open piano lid ."
"4";"3";"place hands on keys ."
"4";"4";"press keys with fingers ."
"5";"1";"sit in front of the piano keyboard ."
"5";"2";"place hands directly over the keys ."
"5";"3";"press down on the keys with your fingers to produce notes ."
"6";"1";"locate the piano ."
"6";"2";"go to the piano ."
"6";"3";"open the piano lid ."
"6";"4";"sit on the chair in front of the piano ."
"6";"5";"play the keys ."
"7";"1";"get song ."
"7";"2";"sit in front piano ."
"7";"3";"following notes play ."
"8";"1";"get note for song ."
"8";"2";"play each note using fingers ."
"9";"1";"get notes ."
"9";"2";"sit down at piano ."
"9";"3";"play notes in sequence ."
"10";"1";"seat on the piano seat ."
"10";"2";"open the close lid ."
"10";"3";"think of song to play ."
"10";"4";"press the keys accordingly ."
"10";"5";"close the lid ."
"10";"6";"get up the seat ."
"11";"1";"find piano ."
"11";"2";"move to piano ."
"11";"3";"press piano keys gently to make tones ."
"12";"1";"find the piano ."
"12";"2";"sit in front of the piano so that your arms can reach the keyboard ."
"12";"3";"extend your hands over the keys ."
"12";"4";"press the keys with your fingers to make musical tones ."
"13";"1";"pick a song to play ."
"13";"2";"read the music for the song ."
"13";"3";"follow the notes on the music ."
"13";"4";"press the piano keys as the music is read ."
"14";"1";"find a piano ."
"14";"2";"sit down on the bench in front of the piano ."
"14";"3";"press the piano keys with your fingers to make music ."
"15";"1";"go to the piano ."
"15";"2";"sit on the stool ."
"15";"3";"lift the lid off the keys ."
"15";"4";"press the keys ."
"16";"1";"determine a tune to play ."
"16";"2";"go to piano ."
"16";"3";"open piano s keyboard ."
"16";"4";"strike the keys in the proper rhythm and order to play the particular song ."
"17";"1";"open the lid ."
"17";"2";"sit on cushion ."
"17";"3";"open music papers ."
"17";"4";"start palying ."
"18";"1";"identify piano ."
"18";"2";"learn how to play piano ."
"18";"3";"sit at piano ."
"18";"4";"place fingers on keys ."
"18";"5";"press correct keys in correct order at the right time ."
"19";"1";"sit at piano ."
"19";"2";"open piano lid ."
"19";"3";"put music on piano ."
"19";"4";"press keys along to the music sheet ."
"20";"1";"open up the keyboard ."
"20";"2";"open up the song book ."
"20";"3";"hit the corresponding keys to the notes ."
"21";"1";"sit down at the piano ."
"21";"2";"place fingers on the keyboard ."
"21";"3";"start to play ."
"22";"1";"sit at piano ."
"22";"2";"place hands on keys ."
"22";"3";"press keys to create music ."
"23";"1";"prepared sheet music ."
"23";"2";"place sheet music on piano in visable position ."
"23";"3";"open piano key cover ."
"23";"4";"place fingers on keys ."
"23";"5";"read prepared sheet music ."
"23";"6";"play piano ."
"24";"1";"sit down on piano bench facing the piano ."
"24";"2";"choose a song or music piece to play ."
"24";"3";"press the keys on the piano to follow the notes to correctly play the song ."
"25";"1";"read notes ."
"25";"2";"sit on chair ."
"25";"3";"press proper keys ."
"26";"1";"press key ."
"27";"1";"press key on piano ."
"28";"1";"sit down at piano ."
"28";"2";"place fingertips on keys ."
"28";"3";"press keys ."
"29";"1";"sit down at piano ."
"29";"2";"place fingertips on keys ."
"29";"3";"press keys ."
"30";"1";"approach piano ."
"30";"2";"open the cover ."
"30";"3";"sit down on the bench ."
"30";"4";"choose the piece you will play ."
"30";"5";"play the piece ."
"31";"1";"approach piano ."
"31";"2";"open the cover ."
"31";"3";"sit down on the bench ."
"31";"4";"choose the piece you will play ."
"31";"5";"play the piece ."
"32";"1";"excercise fingers ."
"32";"2";"memorize notes ."
"32";"3";"practice scales ."
"32";"4";"play as often as you can to practice ."
"33";"1";"excercise fingers ."
"33";"2";"memorize notes ."
"33";"3";"practice scales ."
"33";"4";"play as often as you can to practice ."
"34";"1";"excercise fingers ."
"34";"2";"memorize notes ."
"34";"3";"practice scales ."
"34";"4";"play as often as you can to practice ."
"35";"1";"excercise fingers ."
"35";"2";"memorize notes ."
"35";"3";"practice scales ."
"35";"4";"play as often as you can to practice ."
"36";"1";"excercise fingers ."
"36";"2";"memorize notes ."
"36";"3";"practice scales ."
"36";"4";"play as often as you can to practice ."
"37";"1";"excercise fingers ."
"37";"2";"memorize notes ."
"37";"3";"practice scales ."
"37";"4";"play as often as you can to practice ."
"38";"1";"use fingers ."
"38";"2";"place fingers on piano ."
"38";"3";"press keys ."
