"1";"1";"find pot ."
"1";"2";"collect soup ingredients ."
"1";"3";"place pot on stove ."
"1";"4";"turn on stove ."
"1";"5";"put in ingredients ."
"1";"6";"stir soup until cooked ."
"2";"1";"open a can of soup ."
"2";"2";"empty the soup into the pan ."
"2";"3";"add some water ."
"2";"4";"boil the soup on the stove ."
"3";"1";"pick up soup in a cup ."
"3";"2";"open the cover ."
"3";"3";"fill up the cup with water up to the marked position ."
"3";"4";"put the cup in microwave for 3 minutes ."
"4";"1";"fill large pot with water ."
"4";"2";"apply heat until the water boils ."
"4";"3";"prepare the soup ingredients ."
"4";"4";"place ingredients into the boiling water ."
"4";"5";"allow it to cook for appropriate amount of time ."
"5";"1";"open soup can ."
"5";"2";"pour soup into pot ."
"5";"3";"put pot on stove ."
"5";"4";"turn on stove ."
"5";"5";"when soup is hot turn off stove ."
"5";"6";"serve soup in deep dish ."
"6";"1";"get ingredients for soup ."
"6";"2";"clean ingredients ."
"6";"3";"cut ingredients ."
"6";"4";"put ingredients in pot ."
"6";"5";"put water in pot ."
"6";"6";"heat until done ."
"7";"1";"boil water ."
"7";"2";"cut and peel vegetables ."
"7";"3";"when water boils put vegetables in water ."
"7";"4";"wait ten minutes ."
"7";"5";"add tomato sauce ."
"7";"6";"remove pot from stove ."
"8";"1";"boil water ."
"8";"2";"open canned soup ."
"8";"3";"when water boiling pour canned soup in water ."
"8";"4";"add spices or other vegetables ."
"8";"5";"stir ."
"8";"6";"remove pot from stove ."
"9";"1";"boil water ."
"9";"2";"chop vegetables ."
"9";"3";"when water is boiling put vegetables in water ."
"9";"4";"leave to boil until vegetables tender ."
"9";"5";"add tomato juice ."
"9";"6";"remove pot from stove ."
"10";"1";"opening a can of soup ."
"10";"2";"pouring the soup in to a pot ."
"10";"3";"putting the pot on a cooking range ."
"10";"4";"turning the cooking range on to heat the soup ."
"10";"5";"pouring the soup into a bowl when it is ready ."
"11";"1";"open soup can ."
"11";"2";"pour contents into pot ."
"11";"3";"add water and/or milk ."
"11";"4";"put pot on stove ."
"11";"5";"turn on stove ."
"11";"6";"mix soup ."
"11";"7";"wait until done ."
"12";"1";"gather ingredients ."
"12";"2";"turn on stove ."
"12";"3";"fill pot with two thirds with water ."
"12";"4";"place pot on stove ."
"12";"5";"boil water ."
"12";"6";"place ingredients into boiling water ."
"12";"7";"keep water boiling until soup is done ."
"13";"1";"put water in pot ."
"13";"2";"put ingredients in pot ."
"13";"3";"heat water and ingredients ."
"13";"4";"add spices to taste ."
"14";"1";"open soup can ."
"14";"2";"dump can contents into pot ."
"14";"3";"add water or milk according to recipe ."
"14";"4";"heat pot while stirring ."
"14";"5";"remove when ready ."
"15";"1";"get a can of soup from the cupboard ."
