"1";"1";"find the thermostat ."
"1";"2";"put the setting on heat ."
"2";"1";"estimate comfort level temperature ."
"2";"2";"set thermostat to comfort level temperature ."
"2";"3";"push start button to start heat ."
"3";"1";"locate thermostat ."
"3";"2";"turn switch to heat ."
"4";"1";"find heater ."
"4";"2";"locate on switch ."
"4";"3";"toggle on switch ."
"5";"1";"find heater ."
"5";"2";"find on switch ."
"5";"3";"toggle switch to on position ."
"6";"1";"locating the heater knob ."
"6";"2";"turning it clockwise ."
"7";"1";"adjust the thermostat ."
"8";"1";"feel chilly ."
"8";"2";"turn up the thermostat ."
"9";"1";"walk to adjuster ."
"9";"2";"raise your hand ."
"9";"3";"grab the adjuster ."
"9";"4";"turn the adjuster ."
"9";"5";"take your hand off it ."
"9";"6";"lower your hand ."
"9";"7";"walk away ."
"10";"1";"walking to the thermostat ."
"10";"2";"setting the thermostat to the wanted temperature ."
"10";"3";"walking away ."
"10";"4";"sitting down ."
"11";"1";"find the heat switch ."
"11";"2";"turn the switch to the on position ."
"12";"1";"locate the house s thermostat ."
"12";"2";"turn the temperature on the house s thermostat up ."
"12";"3";"ensure that all heating vents are open and unblocked ."
"13";"1";"locate an oven ."
"13";"2";"locate the front panel on the oven ."
"13";"3";"determine which knob on the front panel operates the oven ."
"13";"4";"turn the temperature on the oven to the requested temperature ."
"14";"1";"find thermostat ."
"14";"2";"flip switch to 'heat' ."
"14";"3";"push up arrow to desired temperature ."
"15";"1";"move to ac unit ."
"15";"2";"locate dial ."
"15";"3";"set dial to warmer ."
"16";"1";"find the knob for the heat ."
"16";"2";"turn the knob to the on position ."
"17";"1";"walk over to the heater switch ."
"17";"2";"flip the switch into on position ."
"18";"1";"locate heater ."
"18";"2";"turn on switch ."
"19";"1";"locate the heater ."
"19";"2";"locate the power switch ."
"19";"3";"turn the heater switch to 'on' ."
"20";"1";"go to heater ."
"20";"2";"push on button ."
"20";"3";"set temperature ."
"21";"1";"go over to the thermostat ."
"21";"2";"grab hold of the thermostat temperature control ."
"21";"3";"move the thermostat temperature indicator to the 'heat on' position ."
"22";"1";"going to the thermostat ."
"22";"2";"turn the dial up ."
"23";"1";"go to the heat switch ."
"23";"2";"turn it on ."
"24";"1";"go to regulator ."
"24";"2";"turn regulator up ."
"25";"1";"locate thermostat ."
"25";"2";"set thermostat to desired heat ."
"25";"3";"turn switch on ."
"26";"1";"find thermostat ."
"26";"2";"find 'on' switch ."
"26";"3";"find temprature setting ."
"27";"1";"find thermostat ."
"27";"2";"find 'on' switch ."
"27";"3";"find temprature switch ."
"27";"4";"set 'on' switch to on postition ."
"27";"5";"set temprature switch to proper setting ."
"28";"1";"find the thermostat ."
"28";"2";"increase the desired temperature ."
"29";"1";"walk to the thermostat ."
"29";"2";"make sure the thermostat is switched to heat ."
"29";"3";"switch the thermostat on ."
"29";"4";"turn the dial of the thermostat to the desired temperature ."
"30";"1";"go to the thermostat ."
"30";"2";"turn up the thermostat ."
"31";"1";"go to thermostat ."
"31";"2";"switch heat on ."
"31";"3";"check thermostat temperature ."
"32";"1";"find the heat controller ."
"32";"2";"turn heat to 'on' ."
"33";"1";"light the pilot light on the hot water heater ."
"33";"2";"set the thermostat to the correct temperature ."
"33";"3";"set the radiators to the desired setting ."
"34";"1";"plug on the heater ."
"34";"2";"turn on the switch ."
"34";"3";"adjust the control knob ."
"35";"1";"locate temperature dial ."
"35";"2";"turn up ."
"36";"1";"go to thermostat control ."
"36";"2";"rotate knob to 'on' position ."
"37";"1";"go to heating device ."
"37";"2";"turn dial to desired temperature ."
"37";"3";"turn on the machine if there is an on switch/button ."
"38";"1";"walk to thermostat ."
"38";"2";"switch to heat setting ."
"38";"3";"choose desired heat ."
"39";"1";"walk to thermostat ."
"39";"2";"put switch to  heat ."
"40";"1";"walk to thermostat ."
"40";"2";"put switch to  heat ."
"41";"1";"feels cold ."
"41";"2";"walk to termostat ."
"41";"3";"increase temperature ."
"41";"4";"sit ."
"41";"5";"heat goes on ."
"41";"6";"warmer ."
"41";"7";"feels better ."
"42";"1";"walk ."
"42";"2";"walk ."
"42";"3";"walk ."
"42";"4";"walk ."
"42";"5";"walk ."
"42";"6";"walk toward heater ."
"42";"7";"turn heater on ."
"43";"1";"go to thermostat ."
"43";"2";"turn switch to 'heat' ."
"43";"3";"turn fan to 'on' ."
"43";"4";"select a temperature ."
"44";"1";"go to thermostat ."
"44";"2";"turn switch to 'heat' ."
"44";"3";"turn fan to 'on' ."
"44";"4";"select a temperature ."
"45";"1";"go to thermostat ."
"45";"2";"turn switch to 'heat' ."
"45";"3";"turn fan to 'on' ."
"45";"4";"select a temperature ."
"46";"1";"go to thermostat ."
"46";"2";"turn switch to 'heat' ."
"46";"3";"turn fan to 'on' ."
"46";"4";"select a temperature ."
"47";"1";"go to thermostat ."
"47";"2";"turn switch to 'heat' ."
"47";"3";"turn fan to 'on' ."
"47";"4";"select a temperature ."
"48";"1";"go to thermostat ."
"48";"2";"turn switch to 'heat' ."
"48";"3";"turn fan to 'on' ."
"48";"4";"select a temperature ."
"49";"1";"find source ."
"49";"2";"approach source ."
"49";"3";"inspect source ."
"49";"4";"check if its on ."
"49";"5";"touch the dial ."
"49";"6";"turn the dial ."
"49";"7";"check if the heat is on ."
"50";"1";"find source ."
"50";"2";"approach source ."
"50";"3";"inspect source ."
"50";"4";"check if its on ."
"50";"5";"touch the dial ."
"50";"6";"turn the dial ."
"50";"7";"check if the heat is on ."
"51";"1";"find source ."
"51";"2";"approach source ."
"51";"3";"inspect source ."
"51";"4";"check if its on ."
"51";"5";"touch the dial ."
"51";"6";"turn the dial ."
"51";"7";"check if the heat is on ."
"52";"1";"turn the temperature up ."
"53";"1";"walk toward heater ."
"53";"2";"turn heater on ."
"53";"3";"done ."
"54";"1";"locate the thermostat ."
"54";"2";"turn heater on ."
"55";"1";"walk over to thermostat ."
"55";"2";"check current temperature ."
"55";"3";"decide desired temperature ."
"55";"4";"find proper button ."
"55";"5";"push button ."
"55";"6";"reach desired temperature ."
"55";"7";"enjoy the warmth ."
"56";"1";"find the thermostat ."
"56";"2";"turn the dial to desired temperature ."
"57";"1";"walk to thermostat ."
"57";"2";"switch setting to heat ."
"57";"3";"choose temperature ."
"58";"1";"go up to thermostat ."
"58";"2";"turn dial up to a higher number ."
"59";"1";"turn the knob to 'heat' ."
"59";"2";"turn the fan knob to the desired level ."
"60";"1";"turn the knob to 'heat' ."
"60";"2";"turn the fan knob to the desired level ."
"61";"1";"turn the knob to 'heat' ."
"61";"2";"turn the fan knob to the desired level ."
"62";"1";"turn the knob to 'heat' ."
"62";"2";"turn the fan knob to the desired level ."
