"1";"1";"put food into a cooking device (a pot or pan) ."
"1";"2";"place cooking device over kitchen gas ."
"1";"3";"light kitchen gas ."
"1";"4";"heat food over gas flame until cooked ."
"2";"1";"place food in pan ."
"2";"2";"place pan on burner ."
"2";"3";"turn on gas burner ."
"2";"4";"watch food so it does not burn ."
"2";"5";"remove pan when it is hot ."
"2";"6";"turn off burner ."
"3";"1";"place a pan on the kitchen gas ."
"3";"2";"place food in the pan ."
"3";"3";"turn on the gas ."
"3";"4";"stir food while heating ."
"3";"5";"remove pan when food is warm ."
"4";"1";"turn on the gas ."
"4";"2";"take the food out ."
"4";"3";"unwrap the food ."
"4";"4";"put the food in a pot/pan ."
"4";"5";"put the pot/pan on the stove ."
"4";"6";"turn on the stove ."
"4";"7";"wait for a while turn off the stove ."
"5";"1";"get food ."
"5";"2";"turn on stove ."
"5";"3";"put food on stove ."
"5";"4";"watch food ."
"5";"5";"remove food ."
"5";"6";"turn stove off ."
"6";"1";"get food ."
"6";"2";"put in metal container ."
"6";"3";"turn on gas ."
"6";"4";"put metal container on gas ."
"6";"5";"wait till heated ."
"6";"6";"remove container ."
"6";"7";"turn off gas ."
"7";"1";"turn stove on ."
"7";"2";"put pot with food on stove ."
"7";"3";"wait ."
"8";"1";"get food ."
"8";"2";"place in metal container ."
"8";"3";"turn on gas ."
"8";"4";"light up gas ."
"8";"5";"put container onto gas ."
"8";"6";"wait to heat up ."
"8";"7";"turn off gas ."
"9";"1";"get food ."
"9";"2";"place in metal container ."
"9";"3";"turn on gas ."
"9";"4";"light up gas ."
"9";"5";"put container onto gas ."
"9";"6";"wait to heat up ."
"9";"7";"turn off gas ."
"10";"1";"put food in metal pot ."
"10";"2";"turn on gas ."
"10";"3";"put pot on gas ."
"10";"4";"wait to heat occasinally stirring ."
"10";"5";"remove when hot enough ."
"10";"6";"turn off gas ."
"11";"1";"put food in pot ."
"11";"2";"turn on kitchen gas ."
"11";"3";"put pot on gas ."
"11";"4";"wait until  food is cooked ."
"11";"5";"turn off gas ."
"12";"1";"turn on the heat/fire of the stove in the kitchen ."
"12";"2";"place a pan on top of the stove ."
"12";"3";"place the food in the pan ."
"12";"4";"when the food is hot turn the heat/fire off ."
"13";"1";"put food in pot ."
"13";"2";"put pot on kitchen stove ."
"13";"3";"turn on gas stove ."
"13";"4";"stir food ."
"13";"5";"wait for foo to heat up ."
"13";"6";"remove pot ."
"13";"7";"turn off gas stove ."
"14";"1";"put the food in pan ."
"15";"1";"put the food in a saucepan ."
"15";"2";"put the saucepan on the stove ."
"15";"3";"switch it on ."
"15";"4";"when hot put the food on a plate ."
"16";"1";"identify pan ."
"16";"2";"identify food ."
"16";"3";"place food in pan ."
"16";"4";"place pan on stove ."
"16";"5";"turn on gas ."
"16";"6";"heat food ."
"17";"1";"put food in bowl ."
"17";"2";"turn gas on ."
"17";"3";"light gas with match ."
"17";"4";"put bowl on gas ."
"17";"5";"stir ."
"17";"6";"wait until food is hot ."
"18";"1";"turn on stove burner ."
"18";"2";"put food in pan ."
"18";"3";"put pan on burner ."
"18";"4";"remove when hot ."
"18";"5";"turn off burner ."
"19";"1";"put the food in a container ."
"19";"2";"turn on the kitchen gas ."
"19";"3";"heat the foods ."
"20";"1";"turn on gas burner ."
"20";"2";"place food in pan ."
"20";"3";"place pan on burner ."
"21";"1";"put pot on the burner ."
"21";"2";"turn on the flame ."
"21";"3";"put food in the pot ."
"21";"4";"stir food as it heats ."
"22";"1";"place food in pan ."
"22";"2";"turn on gas stove ."
"22";"3";"place pan on stove ."
"23";"1";"put food in pot ."
"23";"2";"put pot on burner ."
"24";"1";"put food in pot ."
"24";"2";"put pot on burner ."
"24";"3";"turn on gas low ."
"24";"4";"put top on pot ."
"24";"5";"wait a few minutes ."
"25";"1";"put the food on the kitchen stove ."
"25";"2";"switch on the stove at low level ."
"25";"3";"heat the food for 10 minutes ."
"26";"1";"make sure pilot light is on ."
"26";"2";"turn the knob to turn the flame on ."
"26";"3";"place pot or pan on burner ."
"26";"4";"cook as directed ."
"27";"1";"put food in saucepan ."
"27";"2";"turn on gas ."
"27";"3";"ignite gas ."
"27";"4";"heat food to desired temperature ."
"28";"1";"put food in saucepan ."
"28";"2";"turn on gas ."
"28";"3";"ignite gas ."
"28";"4";"heat food to desired temperature ."
"29";"1";"put food in saucepan ."
"29";"2";"put saucepan on gas stove ."
"29";"3";"turn on gas ."
"29";"4";"ignite gas ."
"29";"5";"put food in saucepan ."
"29";"6";"and heat ."
"30";"1";"turn gas on low light burner ."
"30";"2";"put pan or pot on burner ."
"30";"3";"get food from fridge ."
"30";"4";"put food into pot or pan ."
"30";"5";"heat until desired temperature ."
"30";"6";"turn off burner ."
"30";"7";"serve food ."
"31";"1";"turn gas on ."
"31";"2";"place food on top ."
"31";"3";"wait for it to heat ."
"31";"4";"remove food ."
"31";"5";"turn gas off ."
"32";"1";"put food in pan ."
"32";"2";"turn burner on ."
"32";"3";"place pan on burner ."
"32";"4";"attend food so it does not burn ."
"32";"5";"when food is heated remove and eat ."
"33";"1";"put food in pan ."
"33";"2";"turn burner on ."
"33";"3";"place pan on burner ."
"33";"4";"attend food so it does not burn ."
"33";"5";"when food is heated remove and eat ."
"34";"1";"put food in pan ."
"34";"2";"turn burner on ."
"34";"3";"place pan on burner ."
"34";"4";"attend food so it does not burn ."
"34";"5";"when food is heated remove and eat ."
"35";"1";"put food in pan ."
"35";"2";"turn burner on ."
"35";"3";"place pan on burner ."
"35";"4";"attend food so it does not burn ."
"35";"5";"when food is heated remove and eat ."
"36";"1";"put food in pan ."
"36";"2";"turn burner on ."
"36";"3";"place pan on burner ."
"36";"4";"attend food so it does not burn ."
"36";"5";"when food is heated remove and eat ."
"37";"1";"put food in pan ."
"37";"2";"turn burner on ."
"37";"3";"place pan on burner ."
"37";"4";"attend food so it does not burn ."
"37";"5";"when food is heated remove and eat ."
"38";"1";"place food in pot ."
"38";"2";"place pot on stove ."
"38";"3";"turn element on ."
"38";"4";"stir to prevent burning ."
"38";"5";"remove from heat with finished ."
"38";"6";"turn off burner ."
"39";"1";"place food in pot ."
"39";"2";"place pot on stove ."
"39";"3";"turn element on ."
"39";"4";"stir to prevent burning ."
"39";"5";"remove from heat with finished ."
"39";"6";"turn off burner ."
"40";"1";"place food in pot ."
"40";"2";"place pot on stove ."
"40";"3";"turn element on ."
"40";"4";"stir to prevent burning ."
"40";"5";"remove from heat with finished ."
"40";"6";"turn off burner ."
"41";"1";"place food in pot ."
"41";"2";"place pot on stove ."
"41";"3";"turn element on ."
"41";"4";"stir to prevent burning ."
"41";"5";"remove from heat with finished ."
"41";"6";"turn off burner ."
"42";"1";"place food in pot ."
"42";"2";"place pot on stove ."
"42";"3";"turn element on ."
"42";"4";"stir to prevent burning ."
"42";"5";"remove from heat with finished ."
"42";"6";"turn off burner ."
"43";"1";"place food in pot ."
"43";"2";"place pot on stove ."
"43";"3";"turn element on ."
"43";"4";"stir to prevent burning ."
"43";"5";"remove from heat with finished ."
"43";"6";"turn off burner ."
"44";"1";"walk ."
"44";"2";"heat food ."
"45";"1";"walk ."
"45";"2";"heat food ."
"46";"1";"walk ."
"46";"2";"heat food ."
"47";"1";"walk ."
"47";"2";"heat food ."
"48";"1";"walk ."
"48";"2";"heat food ."
"49";"1";"walk ."
"49";"2";"heat food ."
"50";"1";"turn on gas stove ."
"50";"2";"place food in pot ."
"50";"3";"place pot on stove ."
"50";"4";"heat until desired ."
"51";"1";"turn on gas stove ."
"51";"2";"place food in pot ."
"51";"3";"place pot on stove ."
