"1";"1";"grasp an edge or corner of the furniture ."
"1";"2";"slide or shift the furniture ."
"1";"3";"pick it up and carry it if you can t slide it ."
"1";"4";"put it in a different place ."
"2";"1";"find furniture ."
"2";"2";"pick up furniture or push it with your hands ."
"2";"3";"move furniture to new location ."
"2";"4";"put down furniture or stop pushing it ."
"3";"1";"assess size of room ."
"3";"2";"determine position for new furniture placement ."
"3";"3";"slowly and carefully move each piece of furniture to its new location ."
"4";"1";"move near the furniture ."
"4";"2";"grasp the furniture ."
"4";"3";"raise the furniture from the ground ."
"4";"4";"carry the furniture to it s new location ."
"4";"5";"set the furniture down on the ground ."
"5";"1";"locate furniture to be moved ."
"5";"2";"if possible pick up the furniture walk to the final location and put it down ."
"5";"3";"otherwise push the furniture to the final location ."
"6";"1";"invite over some friends to help ."
"6";"2";"each of you grasp the item of furniture ."
"6";"3";"lift the item in concert ."
"6";"4";"move the item to its new location ."
"7";"1";"fetch a strong man ."
"7";"2";"get a trolley ."
"7";"3";"let the strong man put the furniture on the trolley ."
"7";"4";"let him roll the trolley to the destination ."
"7";"5";"let him unload the furniture ."
"7";"6";"thank the strong man ."
"8";"1";"make space for furniture ."
"8";"2";"lift furniture ."
"8";"3";"move to new place ."
"8";"4";"let furniture down ."
"9";"1";"decide new place for furniture ."
"9";"2";"make room ."
"9";"3";"lift furniture ."
"9";"4";"move to new place ."
"9";"5";"release furniture ."
"10";"1";"get someone to help ."
"10";"2";"pick up furniture ."
"10";"3";"carry furniture to new destination ."
"10";"4";"set down furniture ."
"11";"1";"schedule movers ."
"11";"2";"let movers carry away furniture ."
"11";"3";"be at destination when the movers arrive ."
"11";"4";"let movers move in furniture ."
"12";"1";"make space for furniture ."
"12";"2";"lift up furniture ."
"12";"3";"carry to new place ."
"12";"4";"place down furniture ."
"13";"1";"grab furniture ."
"13";"2";"push furniture ."
"14";"1";"find a piece of furniture ."
"14";"2";"push pull or carry the furniture to a different location ."
"14";"3";"repeat until all of the furniture has been moved ."
"15";"1";"go to the furniture to move ."
"15";"2";"push the furniture somewhere else ."
"16";"1";"pick up furniture ."
"16";"2";"carry furniture ."
"16";"3";"set down furniture ."
"17";"1";"select furniture to be moved ."
"17";"2";"determine where to move furniture ."
"17";"3";"push or carry furniture to desired location ."
"18";"1";"identify furniture ."
"18";"2";"pick up furniture ."
"18";"3";"walk ."
"18";"4";"put furniture down ."
"19";"1";"bend down ."
"19";"2";"grab ."
"19";"3";"lift ."
"19";"4";"move ."
"19";"5";"drop ."
"19";"6";"adjust ."
"20";"1";"go to the furniture ."
"20";"2";"pick furniture up ."
"20";"3";"go to new location for furniture ."
"20";"4";"place furniture on new location ."
"21";"1";"pick up furniture ."
"21";"2";"carry furniture to new location ."
"21";"3";"put down furniture ."
"22";"1";"pick up furniture ."
"22";"2";"carry furniture to new location ."
"22";"3";"put down furniture ."
"23";"1";"identify new location ."
"23";"2";"clear new location ."
"23";"3";"clear path ."
"23";"4";"lift furniture ."
"23";"5";"move furniture ."
"23";"6";"set furniture down ."
"24";"1";"decide where to move the couch to ."
"24";"2";"get behind the couch ."
"24";"3";"ask your friend to get in front ."
"24";"4";"both people lift the couch slightly ."
"24";"5";"both people walk with the couch ."
"25";"1";"pack up all furniture ."
"25";"2";"place furniture in vehicle ."
"25";"3";"drive vehicle to new location ."
"25";"4";"unpack furniture ."
"26";"1";"deside on where the furniture will go ."
"26";"2";"deside if require assistance ."
"26";"3";"know where each peice of furniture will go before you move it ."
"26";"4";"move furniture to the position ."
"26";"5";"you are done ."
"27";"1";"go near furniture ."
"27";"2";"grip the furniture ."
"27";"3";"push furniture ."
"27";"4";"keep pushing to prefered place ."
"27";"5";"let go off the furniture ."
"28";"1";"identify the furniture ."
"28";"2";"apply the force to move ."
"28";"3";"move the furniture in proper direction ."
"29";"1";"find the furniture ."
"29";"2";"take a trolley ."
"29";"3";"keep the furniture inside the trolley ."
"29";"4";"move the furniture ."
"30";"1";"pick up furniture ."
"30";"2";"move to new desired location ."
"30";"3";"slowly lower piece of furniture on the ground ."
"30";"4";"position piece of furniture to the desired arrangement ."
"31";"1";"lift the furniture ."
"31";"2";"move furniture to desinated area ."
"32";"1";"find furniture that needs moving ."
"32";"2";"pick up furniture ."
"32";"3";"walk while holding furniture ."
"33";"1";"find furniture that needs moving ."
"33";"2";"pick up furniture ."
"33";"3";"walk while holding furniture ."
"34";"1";"find furniture that needs moving ."
"34";"2";"pick up furniture ."
"34";"3";"carry it to wher you want it ."
"34";"4";"put it down ."
"35";"1";"find furniture that needs moving ."
"35";"2";"pick up furniture ."
"35";"3";"carry it to wher you want it ."
"35";"4";"put it down ."
"36";"1";"find furniture that needs moving ."
"36";"2";"pick up furniture ."
"36";"3";"carry it to wher you want it ."
"36";"4";"put it down ."
"37";"1";"find furniture that needs moving ."
"37";"2";"pick up furniture ."
"37";"3";"carry it to wher you want it ."
"37";"4";"put it down ."
"38";"1";"find furniture that needs moving ."
"38";"2";"pick up furniture ."
"38";"3";"carry it to wher you want it ."
"38";"4";"put it down ."
"39";"1";"find furniture that needs moving ."
"39";"2";"pick up furniture ."
"39";"3";"carry it to wher you want it ."
"39";"4";"put it down ."
"40";"1";"picking it up ."
"40";"2";"maneuver around corners and spaces ."
"41";"1";"picking it up ."
"41";"2";"maneuver around corners and spaces ."
"42";"1";"use hands ."
"42";"2";"push or lift furniture ."
