"1";"1";"find the person in question ."
"1";"2";"telling him or her that there is a message ."
"1";"3";"giving the message ."
"2";"1";"write down the message ."
"2";"2";"find the person the message is intended for ."
"2";"3";"tell the person the message ."
"3";"1";"write message on a piece of paper ."
"3";"2";"find someone at home ."
"3";"3";"give piece of paper to that person ."
"4";"1";"get in touch with the someone ."
"4";"2";"convey the message to the someone ."
"5";"1";"if at home locate the person and tell him the message ."
"5";"2";"otherwise call home and ask to speak to the desired person ."
"6";"1";"call home ."
"6";"2";"ask to speak to the person who the message should be transmitted to ."
"6";"3";"tell the person the message ."
"6";"4";"hang up ."
"7";"1";"walk to person ."
"7";"2";"tell message ."
"8";"1";"call person ."
"8";"2";"tell message to person ."
"9";"1";"walk to home ."
"9";"2";"knock door ."
"9";"3";"walk inside ."
"10";"1";"walk to home ."
"10";"2";"knock door ."
"10";"3";"walk inside ."
"10";"4";"talk to someone ."
"11";"1";"call home ."
"11";"2";"tell message to person at home ."
"12";"1";"find person in house ."
"12";"2";"go to person ."
"12";"3";"deliver message verbally ."
"13";"1";"open mail program ."
"13";"2";"type message ."
"13";"3";"add adress ."
"13";"4";"send message ."
"14";"1";"find the person s phone number ."
"14";"2";"call the person ."
"14";"3";"tell the person the message ."
"15";"1";"dial the person s telephone number ."
"15";"2";"leave the message with the person who answers the telephone ."
"16";"1";"retrieve message to deliver ."
"16";"2";"deliver message to person ."
"17";"1";"locate the person ."
"17";"2";"locate the message ."
"17";"3";"hand message to the person ."
"17";"4";"verify that the message is understandable ."
"17";"5";"answer any questions if possible ."
"18";"1";"tell person you have message for them ."
"18";"2";"tell the person the message ."
"19";"1";"record message ."
"19";"2";"find someone ."
"19";"3";"replay message ."
"20";"1";"discern need to take a message ."
"20";"2";"find something to write with ."
"20";"3";"find something to write on ."
"20";"4";"listen to message ."
"20";"5";"record message ."
"20";"6";"share message ."
"20";"7";"check understanding of message ."
"21";"1";"listen to message ."
"21";"2";"write down message ."
"21";"3";"deliver message ."
"22";"1";"pick up phone ."
"22";"2";"dial number ."
"22";"3";"greet person ."
"22";"4";"give message ."
"22";"5";"say goodbye ."
"23";"1";"find a pen ."
"23";"2";"find a paper ."
"23";"3";"write down the message ."
"23";"4";"put the message on the refrigerator with a magnet ."
"24";"1";"intercept message ."
"24";"2";"take down ."
"24";"3";"intend to transmit ."
"24";"4";"locate recipient ."
"24";"5";"deliver contents ."
"25";"1";"find the person that you have a message for at home ."
"25";"2";"give them the message ."
"26";"1";"write the message on a notepad ."
"26";"2";"leave it on the table for person to see ."
"27";"1";"find paper ."
"27";"2";"find a pen ."
"27";"3";"write a note ."
"27";"4";"put not on the fridge ."
"28";"1";"hear message ."
"28";"2";"write or remember the message ."
"28";"3";"call or go home ."
"28";"4";"find the person the message is for ."
"28";"5";"give them the message ."
"29";"1";"listen to message ."
"29";"2";"obtain note paper ."
"29";"3";"obtain pen ."
"29";"4";"write message on paper ."
"29";"5";"post message ."
"30";"1";"pick up the pen ."
"30";"2";"find a piece of paper ."
"30";"3";"write down ."
"30";"4";"leave the note on the counter ."
"31";"1";"take a message ."
"31";"2";"leave a note at home ."
"32";"1";"write down message ."
"32";"2";"leave message somewhere highly visible ."
"33";"1";"write down message ."
"33";"2";"leave message somewhere highly visible ."
"34";"1";"walk to get a pen and paper ."
"34";"2";"use pen on paper to write message ."
"35";"1";"listen to message ."
"35";"2";"write message down ."
"35";"3";"hand message to person ."
"36";"1";"listen to message ."
"36";"2";"write message down ."
"36";"3";"hand message to person ."
"37";"1";"listen to message ."
"37";"2";"write message down ."
"37";"3";"hand message to person ."
"38";"1";"listen to message ."
"38";"2";"write message down ."
"38";"3";"hand message to person ."
"39";"1";"listen to message ."
"39";"2";"write message down ."
"39";"3";"hand message to person ."
"40";"1";"listen to message ."
"40";"2";"write message down ."
"40";"3";"hand message to person ."
"41";"1";"recieve the message ."
"41";"2";"take it home with you ."
"41";"3";"give it to it s intended recipient ."
"42";"1";"find person ."
"42";"2";"tell person message ."
"43";"1";"find person ."
"43";"2";"tell person message ."
"44";"1";"write down the message ."
"44";"2";"tell the person the message when they get home ."
"45";"1";"write down the message ."
"45";"2";"tell the person the message when they get home ."
"46";"1";"wait for person to come ."
"46";"2";"repeat message ."
"47";"1";"wait for person to come ."
"47";"2";"repeat message ."
"48";"1";"wait for person to come ."
"48";"2";"repeat message ."
"49";"1";"get up ."
"49";"2";"go to person ."
"49";"3";"tell the person the message ."
"50";"1";"get up ."
"50";"2";"go to person ."
"50";"3";"tell the person the message ."
"51";"1";"take messge ."
"51";"2";"find the person ."
"51";"3";"relay message ."
