"1";"1";"get plunger ."
"1";"2";"use plunger ."
"1";"3";"flush ."
"2";"1";"get a plunger ."
"2";"2";"stick the business end of the plunger into the clogged toilet ."
"2";"3";"use the plunger to suck out the clogging matter ."
"2";"4";"flush the toilet ."
"2";"5";"rinse off the plunger ."
"2";"6";"replace the plunger ."
"3";"1";"get plunger ."
"3";"2";"put plunger in toilet bowl ."
"3";"3";"move plunger up and down ."
"3";"4";"remove plunger ."
"3";"5";"flush tiolet ."
"4";"1";"take the plunger ."
"4";"2";"plunge the toilet ."
"4";"3";"flush the toilet ."
"4";"4";"put plunger away ."
"5";"1";"find the clogged toilet ."
"5";"2";"find a toilet plunger ."
"5";"3";"place the bottom of the toilet plunger inside the toilet over the drain ."
"5";"4";"push the plunger downward quickly ."
"5";"5";"repeat until the toilet is unclogged ."
"6";"1";"get a toilet plunger ."
"6";"2";"insert the plunger into the toilet ."
"6";"3";"move the plunger s handle up and down ."
"6";"4";"stop when the toilet is unclogged ."
"7";"1";"open toilet lid ."
"7";"2";"get plunger ."
"7";"3";"plunge toilet until clog is opened ."
"8";"1";"remove solid waste ."
"8";"2";"insert plunger ."
"8";"3";"pump water in pipe until pipe is clear ."
"8";"4";"clean up ."
"9";"1";"pump the toilet to unclog ."
"10";"1";"push the plunger into the clogged toilet ."
"10";"2";"flush the toilet ."
"10";"3";"repeatedly push the plunger ."
"11";"1";"place plunger in toilet ."
"11";"2";"push plunger in and out ."
"12";"1";"get the plunger ."
"12";"2";"put it in the toilet ."
"12";"3";"move it up and down ."
"13";"1";"get the plunger ."
"13";"2";"put it in the toilet ."
"13";"3";"move it up and down ."
"14";"1";"get the plunger ."
"14";"2";"put it in the toilet ."
"14";"3";"move it up and down ."
"15";"1";"get the plunger ."
"15";"2";"put it in the toilet ."
"15";"3";"move it up and down ."
"16";"1";"get the plunger ."
"16";"2";"put it in the toilet ."
"16";"3";"move it up and down ."
"17";"1";"use hand or plunger to move the blockin material in farther of remove ."
"17";"2";"flush toilet to clear ."
"17";"3";"mop up florr ."
"18";"1";"buy toilet plunger ."
"18";"2";"point plunger large side down ."
"18";"3";"put plunger in toilet ."
"18";"4";"push up and down ."
"18";"5";"keep pushing until water seeps down drain ."
"18";"6";"flush toilet ."
"18";"7";"flush toilet again ."
"19";"1";"get the plunger ."
"19";"2";"place plunger in toilet ."
"19";"3";"press down with plunger ."
"19";"4";"repeat until water drains from bowl ."
"19";"5";"flush toilet ."
"19";"6";"clean plunger ."
"20";"1";"plung toilet ."
"20";"2";"flush toilet ."
"21";"1";"lift seat ."
"21";"2";"place plunger in toilet bowl ."
"21";"3";"push down on plunger ."
"21";"4";"lift up on pluger ."
"21";"5";"repeat 4 and 5 until clog clears ."
"22";"1";"clog the toilet ."
"22";"2";"get the plunger ."
"22";"3";"press the plunger in the hole ."
"22";"4";"flush the toilet ."
"22";"5";"if not unclogged repeat steps ."
"23";"1";"clog the toilet ."
"23";"2";"get the plunger ."
"23";"3";"press the plunger in the hole ."
"23";"4";"flush the toilet ."
"23";"5";"if not unclogged repeat steps ."
"24";"1";"goto toilet ."
"24";"2";"plung toilet until uncloggeed ."
"25";"1";"use flexible rod ."
"25";"2";"poke rod down toilet repeatedly until blockage clears ."
"25";"3";"flush toilet to ensure blockage has gone ."
"26";"1";"put plunger into toliet ."
"26";"2";"push down an plunger ."
"26";"3";"push down an pluger more ."
"26";"4";"try fushing toliet ."
"26";"5";"if toliet flushes rinse plunger ."
"26";"6";"wash up ."
"27";"1";"go into bathroom ."
"27";"2";"pick up plunger ."
"27";"3";"place rubber end of plunger in toilet ."
"27";"4";"push plunger down ."
"28";"1";"go into bathroom ."
"28";"2";"pick up plunger ."
"28";"3";"place rubber end of plunger in toilet ."
"28";"4";"push plunger down sharply ."
"28";"5";"pull plunger up ."
"28";"6";"repeat 45 ."
"29";"1";"get plunger ."
"29";"2";"put into the toilet ."
"29";"3";"move plunger up and down ."
"29";"4";"until clog is removed ."
"30";"1";"get plunger ."
"30";"2";"put into the toilet ."
"30";"3";"move plunger up and down ."
"30";"4";"until clog is removed ."
"31";"1";"get plunger ."
"31";"2";"put into the toilet ."
"31";"3";"move plunger up and down ."
"31";"4";"until clog is removed ."
"31";"5";"flush toilet ."
"32";"1";"find plunger ."
"32";"2";"move it up and down ."
"32";"3";"flush ."
"33";"1";"use a clogger ."
"34";"1";"use a clogger ."
"35";"1";"use a clogger ."
"36";"1";"use a clogger ."
"37";"1";"use a clogger ."
"38";"1";"use a clogger ."
"39";"1";"find the plunger ."
"39";"2";"plunge the toilet until the water level starts to drop ."
"39";"3";"flush the toilet but be ready to: ."
"39";"4";"stop the water flow if toilet starts to overflow ."
"40";"1";"find the plunger ."
"40";"2";"plunge the toilet until the water level starts to drop ."
"40";"3";"flush the toilet but be ready to: ."
"40";"4";"stop the water flow if toilet starts to overflow ."
"41";"1";"find the plunger ."
"41";"2";"plunge the toilet until the water level starts to drop ."
"41";"3";"flush the toilet but be ready to: ."
"41";"4";"stop the water flow if toilet starts to overflow ."
"42";"1";"find the plunger ."
"42";"2";"plunge the toilet until the water level starts to drop ."
"42";"3";"flush the toilet but be ready to: ."
"42";"4";"stop the water flow if toilet starts to overflow ."
"43";"1";"find the plunger ."
"43";"2";"plunge the toilet until the water level starts to drop ."
"43";"3";"flush the toilet but be ready to: ."
"43";"4";"stop the water flow if toilet starts to overflow ."
"44";"1";"find the plunger ."
"44";"2";"plunge the toilet until the water level starts to drop ."
"44";"3";"flush the toilet but be ready to: ."
"44";"4";"stop the water flow if toilet starts to overflow ."
"45";"1";"walk ."
"45";"2";"find the plaming tool ."
"45";"3";"than put it in the toilet ."
"45";"4";"than flash one more time to make sure that it not cloged ."
"46";"1";"find tools ."
"46";"2";"unclog toilet ."
"47";"1";"use the plunger on the clog ."
"47";"2";"pour water into the bowl ."
"47";"3";"when water poured in appears to drain out try to flush the toilet again ."
"47";"4";"if it doesn t flush repeat steps 1-4 ."
"47";"5";"if it does flush the clog is gone ."
"48";"1";"use plunger on clog ."
"48";"2";"pour water into bowl ."
"48";"3";"if water drains flush the toilet ."
"48";"4";"if not repeat steps 1-3 ."
"49";"1";"use plunger on clog ."
"49";"2";"pour water into bowl ."
"49";"3";"if water drains flush the toilet ."
"49";"4";"if not repeat steps 1-3 ."
"50";"1";"use plunger on clog ."
"50";"2";"pour water into bowl ."
"50";"3";"if water drains flush the toilet ."
"50";"4";"if not repeat steps 1-3 ."
"51";"1";"get plunger ."
"51";"2";"plunge toilet ."
"51";"3";"flush toilet ."
"51";"4";"clean plunger ."
"51";"5";"put plunger away ."
"52";"1";"get plunger ."
"52";"2";"put in toilet ."
"52";"3";"move up and down ."
"52";"4";"remove ."
"53";"1";"get plunger ."
"53";"2";"put in toilet ."
"53";"3";"move up and down ."
"53";"4";"remove ."
"54";"1";"get plunger ."
"54";"2";"put in toilet ."
"54";"3";"move up and down ."
"54";"4";"remove ."
"55";"1";"get plunger ."
"55";"2";"plunge toilet ."
"55";"3";"flush toilet ."
"55";"4";"clean plunger ."
"55";"5";"put away plunger ."
"56";"1";"get plunger ."
"56";"2";"plunge toilet ."
"56";"3";"flush toilet ."
"56";"4";"clean plunger ."
"56";"5";"put away plunger ."
"57";"1";"plunge the toilet to break up the clog ."
"57";"2";"try pouring a bit of water down the toilet ."
"57";"3";"if water drains flush the toilet ."
"57";"4";"if it doesn t flush repeat steps 1-4 ."
"58";"1";"plunge the toilet to break up the clog ."
"58";"2";"try pouring a bit of water down the toilet ."
"58";"3";"if water drains flush the toilet ."
"58";"4";"if it doesn t flush repeat steps 1-4 ."
"59";"1";"plunge the toilet to break up the clog ."
"59";"2";"try pouring a bit of water down the toilet ."
"59";"3";"if water drains flush the toilet ."
"59";"4";"if it doesn t flush repeat steps 1-4 ."
