"1";"1";"call a flight reservation agency ."
"1";"2";"select a flight ."
"1";"3";"ask to reserve that flight ."
"2";"1";"find the phone number for a travel agency ."
"2";"2";"call the agency ."
"2";"3";"give flight details ."
"2";"4";"give payment details ."
"2";"5";"give adress details ."
"2";"6";"hang up ."
"3";"1";"call travel agent ."
"3";"2";"inquire about flights ."
"3";"3";"make decision ."
"3";"4";"pay ."
"3";"5";"hang up ."
"4";"1";"pick a date and time to travel ."
"4";"2";"contact an airline ."
"4";"3";"tell them you destination and desired travel time ."
"4";"4";"select the best flight option that they present ."
"5";"1";"visin an online travel site ."
"5";"2";"enter the date and location of your flight ."
"5";"3";"search for flights ."
"5";"4";"select the flight you like ."
"5";"5";"pay for the flight ."
"6";"1";"decide on travel dates ."
"6";"2";"access travel website and enter dates and destination ."
"6";"3";"modify dates and/or destinations until price is acceptable ."
"6";"4";"book tickets ."
"6";"5";"give credit card number and mailing address ."
"7";"1";"decide on travel dates ."
"7";"2";"access travel website and enter dates and destination ."
"7";"3";"if price is acceptable reserve tickets ."
"7";"4";"provide credit card number ."
"8";"1";"decide on travel dates ."
"8";"2";"access travel website and enter dates and destination ."
"8";"3";"if price is acceptable reserve tickets ."
"8";"4";"provide credit card number ."
"9";"1";"call travel agent ."
"9";"2";"inquire about flight on desired dates ."
"9";"3";"if price acceptable make reservation ."
"10";"1";"go to travel website ."
"10";"2";"search for desired flights ."
"10";"3";"select flight ."
"10";"4";"press  make reservation ."
"10";"5";"enter credit card information ."
"10";"6";"save confirmation number ."
"11";"1";"find airline reservation phone number in phone book ."
"11";"2";"call airline reservation phone number ."
"11";"3";"ask to reserve a flight on the date and time you wish ."
"12";"1";"call airline ."
"12";"2";"tell them where you want to fly ."
"12";"3";"tell them when you want to fly ."
"12";"4";"find out which flights are available ."
"12";"5";"reserve best flight ."
"13";"1";"start internet application ."
"13";"2";"go to site of airline ."
"13";"3";"fill out reservation form ."
"13";"4";"fill out credit card information ."
"13";"5";"fill out adress details ."
"13";"6";"confirm reservation ."
"14";"1";"call flight reservation office ."
"14";"2";"give your name ."
"14";"3";"ask for flight reservation ."
"14";"4";"give the number of person ."
"14";"5";"give the date and time when to fly ."
"15";"1";"call travel agent ."
"15";"2";"tell source of travel ."
"15";"3";"tell destination of travel ."
"15";"4";"ask for available flights ."
"15";"5";"select best available flight ."
"16";"1";"pick up phone ."
"16";"2";"call travel agent ."
"16";"3";"speak with travel agent ."
"16";"4";"request flight reservation ."
"16";"5";"hang up phone ."
"17";"1";"pick up phone ."
"17";"2";"call travel agent ."
"17";"3";"speak with travel agent ."
"17";"4";"request flight reservation ."
"17";"5";"hang up phone ."
"18";"1";"find the airline s phone number ."
"18";"2";"call the airline on the phone ."
"18";"3";"tell the person when you want to fly ."
"18";"4";"give the person your credit card number ."
"18";"5";"say thank you ."
"19";"1";"call find travel agent ."
"19";"2";"specify date/time of travel ."
"19";"3";"specify origin ."
"19";"4";"specify destination ."
"19";"5";"review flight/travel options ."
"19";"6";"contract for a flight reservation ."
"20";"1";"call find travel agent ."
"20";"2";"specify date/time of travel ."
"20";"3";"specify origin ."
"20";"4";"specify destination ."
"20";"5";"review flight/travel options ."
"20";"6";"contract for a flight reservation ."
"21";"1";"call travel agent ."
"21";"2";"give time of flight ."
"21";"3";"give number of persons flying ."
"21";"4";"answer any questions ."
"21";"5";"confirm reservation ."
"22";"1";"goto website ."
"22";"2";"make reservation ."
"22";"3";"confirm reservation ."
"23";"1";"goto website ."
"23";"2";"make reservation ."
"23";"3";"confirm reservation ."
"24";"1";"go online ."
"24";"2";"find airline website ."
"24";"3";"check flight availability ."
"24";"4";"note flight times ."
"24";"5";"compare prices with competitors ."
"24";"6";"choose preferred flight ."
"24";"7";"provide credit card details ."
"25";"1";"find the number for an airline ."
"25";"2";"call the airline ."
"25";"3";"book your flight ."
"26";"1";"log on the airline site ."
"26";"2";"check times for flight ."
"26";"3";"choose appropriate time ."
"26";"4";"type in name and address ."
"26";"5";"write down confirmation number ."
"27";"1";"log on the airline site ."
"27";"2";"check times for flight ."
"27";"3";"choose appropriate time ."
"27";"4";"type in name and address ."
"27";"5";"write down confirmation number ."
"28";"1";"log on the airline site ."
"28";"2";"check times for flight ."
"28";"3";"choose appropriate time ."
"28";"4";"type in name and address ."
"28";"5";"write down confirmation number ."
"29";"1";"calling a travel agent ."
"29";"2";"telling the travel agent the dates and times of travel ."
"29";"3";"accepting the term and conditions of the airline ."
"30";"1";"phone call to flight reservation specialist ."
"30";"2";"request flight ."
"30";"3";"make payment ."
"30";"4";"receive reservation number ."
"30";"5";"thank reservation specialist ."
"30";"6";"end phone call ."
"31";"1";"go to airline website ."
"31";"2";"choose flight destination ."
"31";"3";"choose flight time ."
"31";"4";"enter personal information ."
"31";"5";"give payment information ."
"31";"6";"note confirmation number ."
"32";"1";"choose flight ."
"32";"2";"call travel agent ."
"32";"3";"book flight ."
"33";"1";"determine destination ."
"33";"2";"check flight schedules ."
"33";"3";"price comparison ."
"33";"4";"call agent or book online ."
"33";"5";"confirm reservation ."
"34";"1";"comparison shop ."
"34";"2";"decide on best deal ."
"34";"3";"purchase ticket ."
"34";"4";"pick up ticket ."
"35";"1";"comparison shop ."
"35";"2";"comparison shop ."
"35";"3";"decide on best deal ."
"35";"4";"decide on best deal ."
"35";"5";"purchase ticket ."
"35";"6";"purchase ticket ."
"35";"7";"pick up ticket ."
"35";"8";"pick up ticket ."
"36";"1";"comparison shop ."
"36";"2";"decide on best deal ."
"36";"3";"purchase ticket ."
"36";"4";"pick up ticket ."
"37";"1";"comparison shop ."
"37";"2";"decide on best deal ."
"37";"3";"purchase ticket ."
"37";"4";"pick up ticket ."
"38";"1";"comparison shop ."
"38";"2";"decide on best deal ."
"38";"3";"purchase ticket ."
"38";"4";"pick up ticket ."
"39";"1";"comparison shop ."
