"1";"1";"find the garbage can ."
"1";"2";"pick up the garbage can ."
"1";"3";"take the garbage can outside ."
"1";"4";"put down the garbage can ."
"2";"1";"pick up the garbage ."
"2";"2";"move to an outside door ."
"2";"3";"open the door ."
"2";"4";"take garbage outside ."
"2";"5";"place garbage on the ground ."
"3";"1";"remove garbage bag ."
"3";"2";"walk to door ."
"3";"3";"open door ."
"3";"4";"walk to trash can ."
"4";"1";"walk over to the garbage ."
"4";"2";"pick it up ."
"4";"3";"move outside ."
"4";"4";"walk over to the outside trashcan ."
"4";"5";"put the garbage in the trashcan ."
"4";"6";"close the trashcan ."
"5";"1";"tie the trash bag ."
"5";"2";"take the trash bag out of the can ."
"5";"3";"take the bag to the dumpster ."
"5";"4";"open the dumpster ."
"5";"5";"put the bag in the dumpster ."
"6";"1";"go to the garbage can ."
"6";"2";"tie up the garbage bag ."
"6";"3";"take the bag and go to the door ."
"6";"4";"open the door and walk to the garbage chute ."
"6";"5";"open the garbage chute and put the bag into it ."
"6";"6";"close the garbage chute ."
"7";"1";"tie trash bag closed ."
"7";"2";"remove trash bag from can ."
"7";"3";"carry trash bag to garbage can ."
"7";"4";"open garbage can ."
"7";"5";"place trash bag in garbage can ."
"7";"6";"close garbage can ."
"8";"1";"get garbage bag ."
"8";"2";"tie it up ."
"8";"3";"remove bag ."
"8";"4";"take bag to trash bin ."
"9";"1";"tie up the garbage bag ."
"9";"2";"take the bag from the trash can ."
"9";"3";"go to the garbage chute ."
"9";"4";"put the bag into the garbage chute ."
"10";"1";"remove garbage bag ."
"10";"2";"put new garbage bag in trash can ."
"10";"3";"take garbage bag to dumpster ."
"11";"1";"take bag out the bin ."
"11";"2";"open the door ."
"11";"3";"walk out to the end of the drive ."
"11";"4";"leave the bag there ."
"11";"5";"return inside ."
"11";"6";"close the door ."
"12";"1";"locate all garbage receptacles in the building ."
"12";"2";"collate all garbage into as few bags as possible ."
"12";"3";"take bags filled with garbage outside ."
"12";"4";"place garbage bags in a dumpster or trash can ."
"13";"1";"go to garbage bin ."
"13";"2";"take garbage out of the bin ."
"13";"3";"close garbage ."
"13";"4";"put new bag in bin ."
"13";"5";"bring garbage outside ."
"14";"1";"close and seal garbage bag ."
"14";"2";"go outside ."
"14";"3";"walk to dumpster ."
"14";"4";"throw garbage bag in dumpster ."
"14";"5";"return home ."
"14";"6";"place new garbage bag in trash can ."
"15";"1";"gather garbage ."
"15";"2";"tie garbage bags ."
"15";"3";"wait until garbage day ."
"15";"4";"take the garbage outside ."
"15";"5";"put the garbage in the place the garbage person picks it up ."
"16";"1";"tie the top of the bag of garbage ."
"16";"2";"put the bag of garbage in the garbage can ."
"16";"3";"reline the inside garbage can with a new garbage bag ."
"17";"1";"gather garbage into a bag ."
"17";"2";"tie the bag ."
"17";"3";"place the bag inside a trash can ."
"17";"4";"carry trash can to the curb for pickup ."
"18";"1";"tie garbage bag ."
"18";"2";"carry bag outside ."
"18";"3";"open trash bin ."
"18";"4";"put garbage bag in trash bin ."
"18";"5";"close trash bin ."
"19";"1";"empty contents of trash bins into garbage bag ."
"19";"2";"tie garbage bag closed ."
"19";"3";"open kitchen door ."
"19";"4";"pick up garbage bag ."
"19";"5";"carry garbage bag to curb ."
"19";"6";"place garbage bag between sidewalk and curb ."
"19";"7";"return to kitchen ."
"20";"1";"take garbage bag out of can ."
"20";"2";"tie bag ."
"20";"3";"carry bag to bin ."
"20";"4";"throw garbage in bin ."
"21";"1";"remove trash bag liner from trash can ."
"21";"2";"place trash in outside trash resipticle ."
"21";"3";"put new trash bag liner in inside trash can ."
"22";"1";"get empty garbage bag ."
"22";"2";"go room to room gathering trash ."
"22";"3";"close trash bag ."
"22";"4";"carry garbage bag to trash can ."
"22";"5";"open garbage can ."
"22";"6";"place garbage bag in can ."
"22";"7";"put lid on garbage can ."
