"1";"1";"fill sink with water ."
"1";"2";"add soap ."
"1";"3";"place dishes in sink ."
"1";"4";"use sponge to wipe dishes ."
"1";"5";"rinse dish ."
"1";"6";"place in clean side of sink ."
"2";"1";"putting the dishes into the soap water ."
"2";"2";"wash them ."
"3";"1";"load the dishwasher ."
"3";"2";"start the dishwasher ."
"3";"3";"put dish soap in the sink ."
"3";"4";"fill the sink ."
"3";"5";"scrub each dish ."
"3";"6";"rinse each dish ."
"3";"7";"dry each dish ."
"4";"1";"put dishes in dishwasher ."
"4";"2";"put soap in dishwasher ."
"4";"3";"turn on dishwasher ."
"5";"1";"place dishes in sink ."
"5";"2";"fill sink with water and soap ."
"5";"3";"run cloth or sponge over each dish wiping away dirt ."
"5";"4";"rinse each dish ."
"5";"5";"place rinsed dishes in drainboard ."
"6";"1";"gather dirty dishes in sink ."
"6";"2";"put dishes in dishwasher one by one ."
"6";"3";"pour detergent in dishwasher ."
"6";"4";"close dishwasher door ."
"6";"5";"turn dishwasher on ."
"7";"1";"turn water on in the sink ."
"7";"2";"scrape each dish off into the sink ."
"7";"3";"place the dish in the dishwasher ."
"7";"4";"turn on the dishwasher ."
"8";"1";"put dishes inside dishwasher ."
"8";"2";"put detergent in dishwasher ."
"8";"3";"close dishwasher ."
"8";"4";"turn on dishwasher ."
"9";"1";"gather dishes ."
"9";"2";"put dishes in dishwasher ."
"9";"3";"put detergent in dishwasher ."
"9";"4";"turn on dishwasher ."
"9";"5";"wait for dishwasher to finish ."
"9";"6";"remove dishes ."
"10";"1";"gather dishes ."
"10";"2";"put dishes in sink ."
"10";"3";"ran water over them ."
"10";"4";"using a sponge with detergent scrub dishes ."
"10";"5";"rinse dishes ."
"10";"6";"leave dishes to dry ."
"11";"1";"place dishes in dishwasher ."
"11";"2";"add detergent ."
"11";"3";"turn dishwasher on ."
"11";"4";"wait for dishwasher to finish ."
"12";"1";"remove dirty dishes from where they are ."
"12";"2";"place them inside dishwasher ."
"12";"3";"add detergent ."
"12";"4";"turn on dishwasher ."
"12";"5";"wait for dishwasher  to finish ."
"12";"6";"remove dishes and leave to dry ."
"13";"1";"bring dishes to sink ."
"13";"2";"run water over dishes ."
"13";"3";"for each dish do ."
"13";"4";"take dish ."
"13";"5";"clean with detergent and sponge ."
"13";"6";"rinse dish ."
"13";"7";"leave to dry ."
"14";"1";"load dishwasher ."
"14";"2";"put detergent in dishwasher ."
"14";"3";"start dishwasher ."
"14";"4";"wait until dishwasher is done ."
"14";"5";"unload dishwasher ."
"15";"1";"fill a bowl with hot water ."
"15";"2";"put in some washing up liquid ."
"15";"3";"wash all the dirty dishes put them on the draining board to dry ."
"15";"4";"empty the bowl ."
"16";"1";"take all the stuff from the dishes and throw in the garbage ."
"16";"2";"put liquid soap ."
"16";"3";"wash with water ."
"17";"1";"remove dishes from table ."
"17";"2";"rinse food particles from dishes ."
"17";"3";"open dishwasher door ."
"17";"4";"place dishes in dishwasher ."
"17";"5";"add detergent to dispenser in dishwasher ."
"17";"6";"close dishwasher door ."
"17";"7";"start dishwasher ."
"18";"1";"place dishes in dishwasher ."
"18";"2";"fill dishwasher with soap ."
"18";"3";"set dishwasher to correct setting ."
"18";"4";"close and start dishwasher ."
"19";"1";"fill sink with hot water ."
"19";"2";"pour liquid soap into water ."
"19";"3";"dip dish in hot soapy water ."
"19";"4";"rub soapy water all over dish ."
"19";"5";"rinse dish with clean water ."
"19";"6";"place dish in drying rack ."
"20";"1";"put hot water in sink ."
"20";"2";"add a little cold water ."
"20";"3";"add some detergent ."
"20";"4";"wash the non greasy dishes first ."
"20";"5";"use a dish cloth ."
"20";"6";"wash the rest of the dishes ."
"20";"7";"rinse dishes with clean water ."
"21";"1";"collect dishes ."
"21";"2";"fill sink with water and soap ."
"21";"3";"scrub dishes ."
"21";"4";"rinse dishes ."
"21";"5";"dry dishes ."
"21";"6";"put away dishes ."
"22";"1";"take dishes to kitchen ."
"22";"2";"rinse off dishes ."
"22";"3";"place dishes in dishwasher ."
"22";"4";"add detergent ."
"22";"5";"close dish washer ."
"22";"6";"turn dishwasher on ."
"23";"1";"rinse dishes with water ."
"23";"2";"scrub dishes with soapy sponge ."
"23";"3";"place dishes in drying rack ."
"24";"1";"fill sink with water ."
"24";"2";"add dish soap ."
"24";"3";"put dirty dishes in sink full of water ."
"24";"4";"wipe dishes with sponge and soapy water ."
"24";"5";"rinse dishes under clear running water ."
"24";"6";"stack dishes in drainer to dry ."
"25";"1";"fill sink with water ."
"25";"2";"add dish soap ."
"25";"3";"put dirty dishes in sink full of water ."
"25";"4";"wipe dishes with sponge and soapy water ."
"25";"5";"rinse dishes under clear running water ."
"25";"6";"stack dishes in drainer to dry ."
"26";"1";"fill sink with water ."
"26";"2";"add dish soap ."
"26";"3";"put dirty dishes in sink full of water ."
"26";"4";"wipe dishes with sponge and soapy water ."
"26";"5";"rinse dishes under clear running water ."
"26";"6";"stack dishes in drainer to dry ."
"27";"1";"fill sink with water ."
"27";"2";"add dish soap ."
"27";"3";"put dirty dishes in sink full of water ."
"27";"4";"wipe dishes with sponge and soapy water ."
"27";"5";"rinse dishes under clear running water ."
"27";"6";"stack dishes in drainer to dry ."
"28";"1";"fill sink with water ."
"28";"2";"add dish soap ."
"28";"3";"put dirty dishes in sink full of water ."
"28";"4";"wipe dishes with sponge and soapy water ."
"28";"5";"rinse dishes under clear running water ."
"28";"6";"stack dishes in drainer to dry ."
"29";"1";"fill sink with water ."
"29";"2";"add dish soap ."
"29";"3";"put dirty dishes in sink full of water ."
"29";"4";"wipe dishes with sponge and soapy water ."
"29";"5";"rinse dishes under clear running water ."
"29";"6";"stack dishes in drainer to dry ."
"30";"1";"fill sink with water ."
"30";"2";"add dish soap ."
"30";"3";"put dirty dishes in sink full of water ."
"30";"4";"wipe dishes with sponge and soapy water ."
"30";"5";"rinse dishes under clear running water ."
"30";"6";"stack dishes in drainer to dry ."
"31";"1";"fill sink with water ."
"31";"2";"add dish soap ."
"31";"3";"put dirty dishes in sink full of water ."
"31";"4";"wipe dishes with sponge and soapy water ."
"31";"5";"rinse dishes under clear running water ."
"31";"6";"stack dishes in drainer to dry ."
"32";"1";"fill sink with water ."
"32";"2";"add dish soap ."
"32";"3";"put dirty dishes in sink full of water ."
"32";"4";"wipe dishes with sponge and soapy water ."
"32";"5";"rinse dishes under clear running water ."
"32";"6";"stack dishes in drainer to dry ."
"33";"1";"fill sink with water ."
"33";"2";"add dish soap ."
"33";"3";"add dishes ."
"33";"4";"wash dishes ."
"34";"1";"turn on water ."
"35";"1";"turn on water ."
"36";"1";"scrape food off dishes ."
"36";"2";"rinse dishes ."
"36";"3";"use soap to wash dishes ."
"36";"4";"dry dishes ."
"37";"1";"put plug in drain ."
"37";"2";"turn on water ."
"37";"3";"add dishsoap ."
"37";"4";"turn off water ."
"37";"5";"scrub dishes ."
"37";"6";"rinse dishes ."
"37";"7";"empty sink ."
"38";"1";"gather dishes ."
"38";"2";"open dishwasher ."
"38";"3";"insert dishes into dishwasher ."
"38";"4";"insert detergent into dishwasher ."
"38";"5";"close dishwasher ."
"38";"6";"set dishwasher parameters ."
"38";"7";"start dishwasher ."
"39";"1";"put dishes in sink ."
"39";"2";"fill with water ."
"39";"3";"wash dishes ."
"39";"4";"let dishes dry ."
"40";"1";"put dishes in sink ."
"40";"2";"fill with water ."
"40";"3";"wash dishes ."
"40";"4";"let dishes dry ."
"41";"1";"fill sink with hot soapy water ."
"41";"2";"place dishes in sink ."
"41";"3";"use cloth to wask dish ."
"41";"4";"rinse with clean water ."
"41";"5";"place dish in rack to dry ."
"42";"1";"fill sink with hot soapy water ."
"42";"2";"place dishes in sink ."
"42";"3";"use cloth to wask dish ."
"42";"4";"rinse with clean water ."
"42";"5";"place dish in rack to dry ."
"43";"1";"fill sink with hot soapy water ."
"43";"2";"place dishes in sink ."
"43";"3";"use cloth to wask dish ."
"43";"4";"rinse with clean water ."
"43";"5";"place dish in rack to dry ."
"44";"1";"wash the dishes with soap ."
"44";"2";"rinse with water ."
"44";"3";"dry dishes ."
"45";"1";"get dirty dishes ."
"45";"2";"fill sink with soapy water ."
"45";"3";"scrub dishes ."
"45";"4";"rinse dishes ."
"45";"5";"dry dishes ."
"45";"6";"put dishes away ."
"46";"1";"put dishes in sink ."
"46";"2";"fill up with hot water ."
"46";"3";"put in 4 drops of dish detergent ."
"46";"4";"pick up one dish ."
"46";"5";"wipe with cloth ."
"46";"6";"until no debris rinse ."
"46";"7";"repeat steps4-6 ."
"47";"1";"put dishes in sink ."
"47";"2";"fill up with hot water ."
"47";"3";"put in 4 drops of dish detergent ."
"47";"4";"pick up one dish ."
"47";"5";"wipe with cloth ."
"47";"6";"until no debris rinse ."
"47";"7";"repeat steps4-6 ."
"48";"1";"put dishes in sink ."
"48";"2";"fill up with hot water ."
"48";"3";"put in 4 drops of dish detergent ."
"48";"4";"pick up one dish ."
"48";"5";"wipe with cloth ."
"48";"6";"until no debris rinse ."
"48";"7";"repeat steps4-6 ."
"49";"1";"fill the sink with water ."
"49";"2";"pour drops of detergent ."
"49";"3";"get a sponge ."
"49";"4";"pick up a dish ."
"49";"5";"clean with the sponge ."
"49";"6";"rinse until soap is gone ."
"49";"7";"repeat ."
"50";"1";"rinse off dishes with warm water ."
"50";"2";"use a sponge and detergent to wipe off the dishes ."
"50";"3";"rinse the dishes with hot water ."
"50";"4";"place washed dishes on a drying rack ."
"51";"1";"rinse off dishes with warm water ."
"51";"2";"use a sponge and detergent to wipe off the dishes ."
"51";"3";"rinse the dishes with hot water ."
