"1";"1";"get paper towels ."
"1";"2";"wipe up spill until it is absorbed ."
"2";"1";"soak liquid by paper towel ."
"2";"2";"spray some cleaner ."
"2";"3";"wipe the cleaner ."
"3";"1";"take a paper towel ."
"3";"2";"wipe the spilled area with the paper towel ."
"3";"3";"moisten another paper towel ."
"3";"4";"wipe the spilled area with the wet paper towel again ."
"4";"1";"assess size and type of spill ."
"4";"2";"get paper towels mop or broom ."
"4";"3";"collect spill with paper towels mop or broom ."
"4";"4";"dispose of collected spill ."
"4";"5";"repeat to clean residue ."
"5";"1";"walk to store room ."
"5";"2";"take a cloth ."
"5";"3";"walk to spill ."
"5";"4";"put cloth on spill ."
"5";"5";"wait till spill is dried ."
"6";"1";"get a clean up cloth ."
"6";"2";"wipe spill with clean up cloth ."
"6";"3";"repeat until spill is gone ."
"7";"1";"getting a mop paper towel or sponge ."
"7";"2";"rubbing the mop paper towel or sponge over the spill untill all of the liquid has been absorbed ."
"8";"1";"find a cleaning sponge or towel ."
"8";"2";"wet the sponge or towel in a sink ."
"8";"3";"move to the spill ."
"8";"4";"move the sponge or towel in a circular motion on the spill ."
"8";"5";"repeat until the sill is cleaned ."
"9";"1";"get cloth ."
"9";"2";"wipe spill with cloth ."
"10";"1";"locate the spill ."
"10";"2";"fetch a towel or rag ."
"10";"3";"wipe the towel or rag over the location of the spill ."
"10";"4";"clean or dispose of the towel or rag ."
"11";"1";"determine what is spilled ."
"11";"2";"determine what the spill is on ."
"11";"3";"use an absorbant towel or sponge on the spill ."
"11";"4";"wash towel or discard sponge ."
"11";"5";"dry the area where spill took place ."
"12";"1";"find mop ."
"12";"2";"wipe up spill with mop ."
"12";"3";"put mop away ."
"13";"1";"get a cloth ."
"13";"2";"place cloth on spill ."
"13";"3";"move cloth around to absorb liquic ."
"13";"4";"rinse cloth ."
"13";"5";"repeat previous steps until spill is clean ."
"14";"1";"wipe a spill with a dry cloth ."
"15";"1";"wipe up the spill ."
"15";"2";"clean the wiping rag ."
"16";"1";"fill bucket with warm water ."
"16";"2";"add liquid cleaner to bucket ."
"16";"3";"get cloth ."
"16";"4";"use cloth to clean up spill ."
"16";"5";"rinse cloth in prepared bucket of water ."
"16";"6";"wipe area again with cloth ."
"16";"7";"rinse and wipe one more time dry area ."
"17";"1";"get a towel ."
"17";"2";"place on spill ."
"17";"3";"push down to absorb ."
"17";"4";"wash towel ."
"18";"1";"grab a towel ."
"18";"2";"start blotting at the edges pushing towards center ."
