"1";"1";"gut scale and filet fish ."
"1";"2";"turn stove on ."
"1";"3";"place skillet on heated stove ."
"1";"4";"place oil in skillet ."
"1";"5";"place fish in skillet ."
"2";"1";"get fish ."
"2";"2";"marinate fish ."
"2";"3";"put fish on grill ."
"2";"4";"observe and rotate fish ."
"2";"5";"remove fish ."
"3";"1";"get fish ."
"3";"2";"put spices on fish ."
"3";"3";"place fish on grill ."
"3";"4";"leave to cook ."
"3";"5";"turn fish ."
"3";"6";"remove fish ."
"4";"1";"clean fish ."
"4";"2";"find pot that is large enough for fish ."
"4";"3";"heat water in pot ."
"4";"4";"put fish in ."
"4";"5";"simmer fish until done ."
"4";"6";"arrange fish on plate ."
"5";"1";"place fish on grill ."
"5";"2";"turn on grill ."
"5";"3";"wait for fish to cook ."
"6";"1";"locate fish to cook ."
"6";"2";"locate recipe for cooking fish ."
"6";"3";"utilize recipe to properly cook fish ."
"7";"1";"clean fish ."
"7";"2";"marinate fish if desired ."
"7";"3";"place fish on grill ."
"7";"4";"after a side is cooked turn onto other side ."
"7";"5";"when fish is cooked remove from grill ."
"8";"1";"getting fish ."
"8";"2";"cleaning fish ."
"8";"3";"prepare pan ."
"8";"4";"place fish in prepared pan ."
"9";"1";"getting fish ."
"9";"2";"cleaning fish ."
"9";"3";"prepare pan ."
"9";"4";"place fish in prepared pan ."
"9";"5";"heat the pan ."
"9";"6";"turn fish often ."
"9";"7";"remove fish from pan ."
"10";"1";"buy fish ."
"10";"2";"clean fish ."
"10";"3";"slice fish ."
"10";"4";"cook fish ."
"11";"1";"get fish ."
"11";"2";"pick recipe ."
"11";"3";"heat pan ."
"11";"4";"oil pan ."
"11";"5";"put fish in pan ."
"11";"6";"turn when ready ."
"11";"7";"remove ."
"12";"1";"wash the fish ."
"12";"2";"get the inside stuff of the fish ."
"12";"3";"then cook the fish ."
"13";"1";"thaw fish ."
"13";"2";"put on tray ."
"13";"3";"heat oven ."
"13";"4";"put in oven ."
"13";"5";"cook for time required ."
"13";"6";"remove from oven ."
"13";"7";"let cool ."
"14";"1";"scale fish ."
"14";"2";"gut fish ."
"14";"3";"filet fish ."
"14";"4";"place frying pan on hot stove ."
"14";"5";"place fish filet in frying pan ."
"15";"1";"butcher fish ."
"15";"2";"heat pan ."
"15";"3";"oil pan ."
"15";"4";"season fish ."
"15";"5";"sear fish ."
"15";"6";"serve ."
"16";"1";"butcher fish ."
"16";"2";"heat pan ."
"16";"3";"oil pan ."
"16";"4";"season fish ."
"17";"1";"clean fish ."
"17";"2";"prepare ingredients ."
"17";"3";"obtain cooking container ."
"17";"4";"cook fish ."
"18";"1";"place cleaned fish on plate ."
"18";"2";"set aside ."
"18";"3";"get 2 cups of flour ."
"18";"4";"place fish in flour ."
"18";"5";"take fish out ."
"18";"6";"put oil in pan put fish in pan ."
"18";"7";"cook fish in pan ."
"19";"1";"catch a fish ."
"19";"2";"clean the fish ."
"19";"3";"cut the fish up ."
"19";"4";"heat up a pan ."
"19";"5";"put the fish in the pan ."
"19";"6";"turn the fish over ."
"19";"7";"wait until the fish is cooked ."
"20";"1";"procure fish ."
"20";"2";"clean scales ."
"20";"3";"clean guts ."
"20";"4";"put oil in pan ."
"20";"5";"heat oil ."
"20";"6";"fry fish in hot oil ."
"20";"7";"serve fish ."
"21";"1";"procure fish ."
"21";"2";"clean scales ."
"21";"3";"clean guts ."
"21";"4";"put oil in pan ."
"21";"5";"heat oil ."
"21";"6";"fry fish in hot oil ."
"21";"7";"serve fish ."
"22";"1";"procure fish ."
"22";"2";"clean scales ."
"22";"3";"clean guts ."
"22";"4";"put oil in pan ."
"22";"5";"heat oil ."
