"1";"1";"put cover ."
"1";"2";"put dishes on table ."
"1";"3";"put glasses ."
"1";"4";"put silverware ."
"2";"1";"clear all objects from the table surface ."
"2";"2";"place a dish at each seating position ."
"2";"3";"place a glass at each position ."
"2";"4";"place silverware at each position ."
"2";"5";"place a napkin at each position ."
"3";"1";"clear the table ."
"3";"2";"put placemats on table ."
"3";"3";"arrange plates on table ."
"3";"4";"arrange utensils on table ."
"3";"5";"arrange napkins on table ."
"3";"6";"arrange drinking glasses on table ."
"4";"1";"determine how many people will be dining ."
"5";"1";"put a tablecloth on the table ."
"5";"2";"take out all the dishes ."
"5";"3";"take out all the cutlery ."
"5";"4";"put the cutlery and dishes on the table ."
"6";"1";"get silverware ."
"6";"2";"bring to table ."
"6";"3";"put on table ."
"6";"4";"get plates ."
"6";"5";"bring to table ."
"6";"6";"put on table ."
"7";"1";"locate dining table ."
"7";"2";"locate cutlery ."
"7";"3";"put a fork on the left a knife on the right and a spoon at the top ."
"7";"4";"repeat process for each table setting ."
"8";"1";"place appropiate number of plates on table ."
"8";"2";"place appropriate number of cups on table ."
"8";"3";"place appropriate number of forks and knives on table ."
"8";"4";"bring salt and pepper shakers to table ."
"9";"1";"identify dining table ."
"9";"2";"identify silverware ."
"9";"3";"place silverware around dining table ."
"9";"4";"identify food ."
"9";"5";"place food around table on plates ."
"10";"1";"putting out the placemats ."
"10";"2";"putting out the proper amount of utensils ."
"10";"3";"folding the napkins ."
"10";"4";"putting out plates for each place setting ."
"11";"1";"identify silverware and dishes ."
"11";"2";"obtain silverware and dishes ."
"11";"3";"place silverware dishes and napkins on table ."
"12";"1";"lay out tablecloths ."
"12";"2";"lay out placemats ."
"12";"3";"lay out plates ."
"12";"4";"lay out glasses ."
"12";"5";"lay out silverware ."
"12";"6";"lay out food ."
"13";"1";"lay the tablecloth ."
"13";"2";"place the plates on the table ."
"13";"3";"place the forks on the table ."
"13";"4";"place the spoons on the table ."
"13";"5";"place the knives on the table ."
"13";"6";"place the glasses on the table ."
"13";"7";"place the napkins on the table ."
"14";"1";"get the dishes ."
"14";"2";"put them on the table ."
"15";"1";"get the dishes ."
"15";"2";"put them on the table ."
"16";"1";"put down placemats ."
"16";"2";"put the plate in the center ."
"16";"3";"place the fork on the left ."
"16";"4";"place the spoon and knife on the right ."
"16";"5";"add a glass ."
"16";"6";"add a centerpiece ."
"16";"7";"fold napkin ."
"17";"1";"remove table cloth ."
"17";"2";"place plates ."
"17";"3";"place knives and forks ."
"17";"4";"place drinks ."
"17";"5";"fill drinks ."
"17";"6";"place napkins ."
"17";"7";"add salt and pepper shakers ."
"18";"1";"remove table cloth ."
"18";"2";"place plates ."
"18";"3";"place knives and forks ."
"18";"4";"place drinks ."
"18";"5";"fill drinks ."
"18";"6";"place napkins ."
"18";"7";"add salt and pepper shakers ."
"19";"1";"place the plates ."
"19";"2";"place the cutlery ."
"19";"3";"place the glasses ."
"20";"1";"place the plates ."
"20";"2";"place the cutlery ."
"20";"3";"place the glasses ."
