"1";"1";"locate tv off switch ."
"1";"2";"press off switch ."
"2";"1";"locate off switch ."
"2";"2";"toggle off switch ."
"3";"1";"press off button ."
"4";"1";"find the remote control ."
"4";"2";"find the on/off button ."
"4";"3";"push it ."
"5";"1";"find the power switch for the tv ."
"5";"2";"turn the switch to the off position ."
"6";"1";"find the tv power switch ."
"6";"2";"turn the switch to the off position ."
"7";"1";"find the tv s power switch ."
"7";"2";"turn the switch to the off position ."
"8";"1";"grab remote control ."
"8";"2";"point remote at tv ."
"8";"3";"press off button ."
"9";"1";"find tv s power switch ."
"9";"2";"turn the switch to the off position ."
"10";"1";"find remote ."
"10";"2";"find off button ."
"10";"3";"push it ."
"10";"4";"put down remote ."
"11";"1";"locate remote ."
"11";"2";"locate tv ."
"11";"3";"push off button ."
"12";"1";"locate tv ."
"12";"2";"locate remote ."
"12";"3";"press power button on remote ."
"13";"1";"find the remote control ."
"13";"2";"pick up the remote control ."
"13";"3";"point the remote control at the tv ."
"13";"4";"push the power button on the remote control ."
"13";"5";"put down the remote control ."
"14";"1";"locate the tv remote ."
"14";"2";"press the off button on the remote ."
"15";"1";"visually inspect the tv ."
"15";"2";"locate the button on the tv labeled as power ."
"15";"3";"push the button ."
"16";"1";"approach the tv ."
"16";"2";"press the off button ."
"17";"1";"find the remote control ."
"17";"2";"point the remote control towards the tv ."
"17";"3";"push the power button ."
"17";"4";"or ."
"17";"5";"walk over to the tv ."
"17";"6";"push the power button ."
"18";"1";"locating the power button on the remote or tv ."
"18";"2";"pressing the power button on the remote or tv ."
"18";"3";"releasing the power button on the remote or tv ."
"19";"1";"find remote control ."
"19";"2";"push power button on remote control ."
"19";"3";"place remote control on table ."
"20";"1";"get remote ."
"20";"2";"press off button ."
"21";"1";"locate tv remote ."
"21";"2";"locate power button on remote ."
"21";"3";"press power button ."
"22";"1";"if tv is on push power button ."
"23";"1";"grab remote ."
"23";"2";"aim remote at tv ."
"23";"3";"press power button ."
"24";"1";"go over to the tv ."
"24";"2";"pick up the tv remote control ."
"24";"3";"point the tv remote control at the tv ."
"24";"4";"press the off button on the remote control ."
"25";"1";"plug in the tv into a clapper device ."
"25";"2";"get in front of the tv ."
"25";"3";"clap your hands ."
"25";"4";"wait for the tv to shut off ."
"26";"1";"locate tv ."
"26";"2";"locate off switch ."
"26";"3";"press off switch ."
"27";"1";"walk to front of tv ."
"27";"2";"locate on/off switch ."
"27";"3";"push on/off switch ."
"28";"1";"locate power switch ."
"28";"2";"press power switch ."
"29";"1";"stand up ."
