"1";"1";"identify problem ."
"1";"2";"read about relevant research in the area ."
"1";"3";"plan course of action ."
"1";"4";"review progress ."
"2";"1";"go to the library ."
"2";"2";"ask the librarian where to find books on the topic ."
"2";"3";"peruse the section of books ."
"2";"4";"select the most relevant books ."
"2";"5";"check the books out of the library ."
"3";"1";"identify keywords for topic ."
"3";"2";"enter keywords into search engine ."
"3";"3";"return search engine results ."
"4";"1";"find relevant papers on topic ."
"4";"2";"summarize papers ."
"4";"3";"find problems not solved by previous research ."
"4";"4";"find solution for problem ."
"4";"5";"summarize findings in paper ."
"5";"1";"make a literature search for the topic ."
"5";"2";"review the literature ."
"5";"3";"answer questions within the topic that haven t been answered before ."
"5";"4";"write report of your findings ."
"6";"1";"go to the library ."
"6";"2";"choose media to research by ."
"6";"3";"thoroughly read the chosen media ."
"6";"4";"pick out the important information ."
"6";"5";"write important information down for notes ."
"7";"1";"look for a book about the specified topic ."
"7";"2";"study the pages of the book to learn more about the topic ."
"7";"3";"repeat until you have found all books about the topic ."
"8";"1";"call someone you know on the telephone ."
"8";"2";"ask them about the specified topic ."
"8";"3";"repeat until you learn more about the topic from someone ."
"9";"1";"identify topic ."
"9";"2";"identify relevant material ."
"9";"3";"read relevant material ."
"10";"1";"identify topic ."
"10";"2";"search for topic in library or internet ."
"10";"3";"retrieve infomation ."
"10";"4";"present information ."
"11";"1";"open google com ."
"11";"2";"search for the specific topic ."
"12";"1";"receive topic ."
"12";"2";"go to library ."
"12";"3";"look in card catalogue ."
"12";"4";"find books in relation to topic ."
"12";"5";"open books ."
"12";"6";"search in index for topic ."
"12";"7";"read book ."
"13";"1";"pose query ."
"13";"2";"find resources ."
"13";"3";"seek pertaining data ."
"13";"4";"follow relevent threads ."
"13";"5";"isolate useful data ."
"13";"6";"transcribe precise answers ."
"13";"7";"compile concluding report ."
"14";"1";"determine topic ."
"14";"2";"determine scope of work ."
"14";"3";"outline need and focus ."
"14";"4";"gather resources ."
"14";"5";"perform research ."
"14";"6";"record research ."
"14";"7";"record conclusion ."
"15";"1";"read papers ."
"15";"2";"syntesis ."
"15";"3";"add contribution ."
"15";"4";"publich contribution ."
"16";"1";"choose the topic ."
"16";"2";"find the relevant documents review ."
"16";"3";"analyze the reviews ."
"16";"4";"perform the research ."
"17";"1";"find the research topic ."
"17";"2";"research it ."
"18";"1";"identify the topic ."
"18";"2";"find subtopics and related research/incidents ."
"18";"3";"record information ."
"18";"4";"summarize and correlate information ."
"19";"1";"look in a book ."
"19";"2";"go on the internet ."
"19";"3";"google it ."
"19";"4";"go to wikipedia ."
"19";"5";"go to the library ."
"19";"6";"ask someone ."
"19";"7";"include a bibliography ."
"20";"1";"pick topic ."
"20";"2";"choose research method ."
"20";"3";"research ."
"21";"1";"pick topic ."
"21";"2";"choose research method ."
"21";"3";"research ."
"22";"1";"find your interest ."
"22";"2";"do research ."
"22";"3";"find partner ."
"22";"4";"search for information ."
"22";"5";"go to library ."
"22";"6";"prepare presentation ."
"22";"7";"finish presentation ."
"23";"1";"find your interest ."
"23";"2";"do research ."
"23";"3";"find partner ."
"23";"4";"search for information ."
"23";"5";"go to library ."
"23";"6";"prepare presentation ."
"23";"7";"finish presentation ."
"24";"1";"choose topic ."
"24";"2";"research online ."
"24";"3";"research at library ."
"24";"4";"print required data ."
"24";"5";"compose rough draft of report ."
"24";"6";"proofread rough copy ."
"24";"7";"edit/make changes ."
"25";"1";"choose topic ."
"25";"2";"research online ."
"25";"3";"research at library ."
"25";"4";"print required data ."
"25";"5";"compose rough draft of report ."
"25";"6";"proofread rough copy ."
"25";"7";"edit/make changes ."
"26";"1";"choose topic ."
"26";"2";"research online ."
"26";"3";"research at library ."
"26";"4";"print required data ."
"26";"5";"compose rough draft of report ."
"26";"6";"proofread rough copy ."
"26";"7";"edit/make changes ."
"27";"1";"idetify the topic ."
"27";"2";"do research ."
"28";"1";"access information source ."
"28";"2";"search for specified topic ."
"28";"3";"save or print related information ."
"28";"4";"search for related terms ."
"28";"5";"save or print related information ."
"29";"1";"go to library ."
"29";"2";"get books related to the topic ."
"29";"3";"read books ."
"30";"1";"go to library ."
"30";"2";"get books related to the topic ."
"30";"3";"read books ."
"31";"1";"go to library ."
"31";"2";"get books related to the topic ."
"31";"3";"read books ."
"32";"1";"go to library ."
"32";"2";"get books related to the topic ."
"32";"3";"read books ."
"33";"1";"pick a topic ."
"33";"2";"look up information in encyclopedia ."
"33";"3";"look in dictionary ."
"33";"4";"look online ."
