"1";"1";"remove dirty dishes ."
"1";"2";"clean sink ."
"2";"1";"remove each item from the kitchen sink ."
"3";"1";"washing the items in the sink ."
"3";"2";"moving the items in the sink to somewhere else ."
"3";"3";"draining the water from the sink ."
"4";"1";"remove all dishes from sink ."
"4";"2";"allow water to drain ."
"5";"1";"take all the pots and pans out the sink ."
"5";"2";"take dishcloth out the sink ."
"5";"3";"pull the plug out ."
"6";"1";"determine what is in sink ."
"6";"2";"remove objects ."
"6";"3";"inpspect objects ."
"6";"4";"clean as necessary ."
"7";"1";"roll up sleeve ."
"7";"2";"put hand in water ."
"7";"3";"pull plug ."
"7";"4";"let water run out of sink ."
"8";"1";"pick up an item in the sink ."
"8";"2";"store the item where it belongs ."
"8";"3";"repeat until the sink is empty ."
"9";"1";"go to the kitchen ."
"9";"2";"take contents out of the kitchen sink ."
"9";"3";"pull the plug out of the sink ."
"10";"1";"get out the object inside the sink ."
"11";"1";"take away all the stuff from the kitchen sink ."
"11";"2";"clean the kitchen sink ."
"12";"1";"wash all bowls and dishes in the kitchen sink ."
"12";"2";"put small amounts of food into the garbarge ."
"12";"3";"rinse sink with hot water ."
"13";"1";"place hand in sink ."
"13";"2";"find the drain plug ."
"13";"3";"remove drain plug from drain ."
"13";"4";"wait until water is no longer in the sink ."
"14";"1";"pull the stopper up ."
"15";"1";"wash the dishes ."
"15";"2";"drythem ."
"15";"3";"put them away ."
"16";"1";"wash the dishes ."
"16";"2";"drythem ."
"16";"3";"put them away ."
"17";"1";"remove all the object inside the kitchen sink ."
"18";"1";"open the dishwasher ."
"18";"2";"pick up an item from the sink ."
"18";"3";"put the item in the dishwasher ."
"18";"4";"repeat 2-3 until sink is empty ."
"18";"5";"close the dishwasher ."
"19";"1";"clean the dishes in the sink ."
"19";"2";"dry the dishes ."
"19";"3";"put them away ."
"20";"1";"turn on the water ."
"20";"2";"put dish soap on a dish cloth ."
"20";"3";"wash the dishes in the sink ."
"20";"4";"put dishes in dish strainer ."
"20";"5";"when dishes finished rinse the sink ."
"21";"1";"empty dishes from sink ."
"22";"1";"pull drain slightly up and turn so it becomes a strainer ."
"22";"2";"once all the water has left the sink ."
"22";"3";"rinse the sink ."
"22";"4";"empty the drain ."
"23";"1";"pull drain slightly up and turn so it becomes a strainer ."
"23";"2";"once all the water has left the sink ."
"23";"3";"rinse the sink ."
"23";"4";"empty the drain ."
"24";"1";"pull drain slightly up and turn so it becomes a strainer ."
"24";"2";"once all the water has left the sink ."
"24";"3";"rinse the sink ."
"24";"4";"empty the drain ."
"25";"1";"pull drain slightly up and turn so it becomes a strainer ."
"25";"2";"once all the water has left the sink ."
"25";"3";"rinse the sink ."
"25";"4";"empty the drain ."
"26";"1";"pull drain slightly up and turn so it becomes a strainer ."
"26";"2";"once all the water has left the sink ."
"26";"3";"rinse the sink ."
"26";"4";"empty the drain ."
"27";"1";"pull drain slightly up and turn so it becomes a strainer ."
"27";"2";"once all the water has left the sink ."
"27";"3";"rinse the sink ."
"27";"4";"empty the drain ."
"28";"1";"put detergent on sponge ."
"28";"2";"wash pots first ."
"28";"3";"then wash large plates ."
"28";"4";"wash knifes and forks ."
"28";"5";"wash cup last ."
"28";"6";"put washed in cupboard ."
"28";"7";"rinse sink ."
"29";"1";"go to the sink ."
"29";"2";"open the sink outlet ."
"29";"3";"empty the sink ."
"30";"1";"go to the sink ."
"30";"2";"open the sink outlet ."
"30";"3";"empty the sink ."
"31";"1";"gather the contents of the sink ."
"31";"2";"take a rag ."
"31";"3";"wet the rag ."
"31";"4";"apply soap ."
"31";"5";"scrub the dishes ."
"31";"6";"wash off the dishes ."
"31";"7";"remove dishes and dry them ."
"32";"1";"gather the contents of the sink ."
"32";"2";"take a rag ."
"32";"3";"wet the rag ."
"32";"4";"apply soap ."
"32";"5";"scrub the dishes ."
"32";"6";"wash off the dishes ."
"32";"7";"remove dishes and dry them ."
"33";"1";"gather the contents of the sink ."
"33";"2";"take a rag ."
"33";"3";"wet the rag ."
"33";"4";"apply soap ."
"33";"5";"scrub the dishes ."
"33";"6";"wash off the dishes ."
"33";"7";"remove dishes and dry them ."
"34";"1";"gather the contents of the sink ."
"34";"2";"take a rag ."
"34";"3";"wet the rag ."
"34";"4";"apply soap ."
"34";"5";"scrub the dishes ."
"34";"6";"wash off the dishes ."
"34";"7";"remove dishes and dry them ."
"35";"1";"remove dishes from the sink ."
"35";"2";"rinse the sink down til it looks clean ."
"35";"3";"with water still running turn on the garbage disposal ."
"35";"4";"turn off disposal and water ."
"36";"1";"set up dishrack ."
"37";"1";"set up dishrack ."
"37";"2";"pick up an item from the sink ."
"37";"3";"wash the item ."
"37";"4";"dry with tea towel ."
"37";"5";"find place it will fit in dishrack ."
"37";"6";"place it there ."
"37";"7";"repeat until sink is empty ."
"38";"1";"remove dishes from sink ."
"38";"2";"open drain ."
"38";"3";"let water drain ."
"39";"1";"remove dishes from sink ."
"39";"2";"open drain ."
"39";"3";"let water drain ."
"40";"1";"remove dishes from sink ."
"40";"2";"open drain ."
"40";"3";"let water drain ."
"41";"1";"wash dishes ."
"41";"2";"place on dish rack ."
