"1";"1";"picking up the receiver ."
"1";"2";"dialing the phone number ."
"1";"3";"asking to speak to someone ."
"1";"4";"repeating the message ."
"2";"1";"call the person ."
"2";"2";"give them the message ."
"3";"1";"call the person ."
"3";"2";"tell them the message over the phone ."
"4";"1";"call the person for whom the message is intended ."
"4";"2";"tell them you have a message for them ."
"4";"3";"tell them who the message is from ."
"4";"4";"tell them the message ."
"5";"1";"receive the message to transmit ."
"5";"2";"dial the phone for the person you want to give the message to ."
"5";"3";"transmit the message verbally ."
"5";"4";"hang up the phone ."
"6";"1";"call the person on the phone ."
"6";"2";"make sure it s the right person ."
"6";"3";"tell them the message ."
"6";"4";"hang up ."
"7";"1";"locate message ."
"7";"2";"read message ."
"7";"3";"dictate message over phone ."
"8";"1";"obtain a message ."
"8";"2";"be talking to someone on the phone ."
"8";"3";"verbally repeat the message ."
"9";"1";"find the person s phone number ."
"9";"2";"pick up the phone ."
"9";"3";"call the phone number ."
"9";"4";"ask to sepak to that person ."
"9";"5";"say the message ."
"9";"6";"ask the person to confirm the message ."
"9";"7";"hang up the phone ."
"10";"1";"find the phone number of the person ."
"10";"2";"dial the person s phone number ."
"10";"3";"wait for the person to answer ."
"10";"4";"greet the person ."
"10";"5";"relay the message to the person ."
"11";"1";"pick up the phone ."
"11";"2";"call that person ."
"11";"3";"ask to speak to the person ."
"11";"4";"tell the person the message you want to give ."
"11";"5";"make sure the person understand the message ."
"12";"1";"pick up phone ."
"12";"2";"dial number ."
"12";"3";"wait for person to answer ."
"12";"4";"deliver message ."
"12";"5";"hang up ."
"13";"1";"call person ."
"13";"2";"wait for person to pick up phone ."
"13";"3";"transmit message ."
"13";"4";"hang up ."
"14";"1";"call person on the phone ."
"14";"2";"wait for person to pick up ."
"14";"3";"deliver message ."
"14";"4";"hang up ."
"15";"1";"dial person s phone number ."
"15";"2";"wait for person to pick up or ask for person ."
"15";"3";"communicate message ."
"15";"4";"hang up ."
"16";"1";"call person ."
"16";"2";"deliver message ."
"16";"3";"hang up ."
"17";"1";"call person on phone ."
"17";"2";"wait for person to pick up ."
"17";"3";"deliver message ."
"17";"4";"hang up ."
"18";"1";"locate the number of the receipent of the message ."
"18";"2";"locate a telephone ."
"18";"3";"call the receipient on the telephone ."
"18";"4";"recite the message to the receipient ."
"18";"5";"hang up the phone ."
"19";"1";"ask to speak to the person the message is intended for ."
"19";"2";"dictate the message ."
"19";"3";"say goodbye ."
"19";"4";"hang up the phone ."
"20";"1";"read message slowly ."
"20";"2";"read contact information ."
"20";"3";"ask person if they got the message ."
"20";"4";"read message if necessary ."
"20";"5";"hang up ."
"21";"1";"speak message to person ."
"22";"1";"pick up receiver ."
"22";"2";"dial phone number ."
"22";"3";"ask for recipient ."
"22";"4";"give message ."
"22";"5";"hang up phone ."
"23";"1";"recite message ."
"24";"1";"pick up the phone ."
"24";"2";"dial a number talk to person and give message ."
"25";"1";"call the person ."
"25";"2";"ask if they are who you want ."
"25";"3";"tell them who called ."
"25";"4";"tell them their phone number ."
"26";"1";"have information to tell someone distant ."
"26";"2";"find the location phone number ."
"26";"3";"dial the number ."
"26";"4";"ask for someone ."
"26";"5";"greet someone ."
"26";"6";"transmit message ."
"26";"7";"listen for response ."
"27";"1";"pick up the receiver ."
"27";"2";"dial her number ."
"27";"3";"tell her the message ."
"27";"4";"put down the receiver ."
"28";"1";"get the number ."
"28";"2";"dial the number ."
"28";"3";"cotact the person ."
"28";"4";"relay the message ."
"28";"5";"get ackowledged ."
"28";"6";"sign off ."
"28";"7";"keep the reciever down ."
"29";"1";"call person on phone ."
"29";"2";"tell person message ."
"29";"3";"hang up ."
"30";"1";"call the person you are going to give the messsage to first ."
"30";"2";"when the person answers the phone tell the person the message that was left for him or her ."
"31";"1";"pick up phone ."
"31";"2";"phone person ."
"31";"3";"give them message ."
"32";"1";"call message recipient ."
"32";"2";"when they answer read/tell them the message ."
"32";"3";"ask them if they need a repeat ."
"32";"4";"when finished say goodbye and hang up ."
"33";"1";"ask if they can take a message ."
"33";"2";"tell them who you are ."
"33";"3";"tell them your message ."
"33";"4";"say bye ."
"33";"5";"hang up ."
"34";"1";"ask if they can take a message ."
"34";"2";"tell them who you are ."
"34";"3";"tell them your message ."
"34";"4";"say bye ."
"34";"5";"hang up ."
"35";"1";"ask if they can take a message ."
"35";"2";"tell them who you are ."
"35";"3";"tell them your message ."
"35";"4";"say bye ."
"35";"5";"hang up ."
"36";"1";"write down message ."
"36";"2";"when the person comes home give them message ."
"37";"1";"write down message ."
"37";"2";"when the person comes home give them message ."
"38";"1";"pick up phone ."
"38";"2";"dial person s number ."
"38";"3";"wait for person to pick up phone ."
"38";"4";"say hi and tell person the message ."
"39";"1";"take down message ."
"39";"2";"give message to person you talk to them next ."
