"1";"1";"go to person ."
"1";"2";"retrieve object ."
"1";"3";"follow person ."
"2";"1";"get object ."
"2";"2";"follow person ."
"3";"1";"hold box from one side ."
"3";"2";"carry box to destination ."
"4";"1";"ask 'can i help you carry that?' ."
"4";"2";"if they say yes then ."
"4";"3";"grasp one end of the object ."
"4";"4";"move the object to the desired location ."
"5";"1";"locate the person that needs help ."
"5";"2";"approach that person ."
"5";"3";"say 'may i help you carrying anything?' ."
"5";"4";"carry the thing(s) that person hands you ."
"6";"1";"get some bags from person ."
"7";"1";"pick up the item ."
"7";"2";"walk with the item to where the person needs it ."
"8";"1";"go upto someone carrying something ."
"8";"2";"take hold of part of what they are carrying ."
"9";"1";"go near person ."
"9";"2";"offer help ."
"9";"3";"take objects ."
"9";"4";"follow person ."
"9";"5";"put objects down ."
"10";"1";"lift together ."
"10";"2";"decide who goes first ."
"10";"3";"synchronize movement ."
"11";"1";"grasp where indicated ."
"11";"2";"lift appropriately ."
"11";"3";"carry to desired location ."
"12";"1";"take the object from the person ."
"12";"2";"follow the person to their destination ."
"12";"3";"give the object back to them ."
"13";"1";"see someone carrying a load ."
"13";"2";"discern that they need help ."
"13";"3";"rise to help ."
"13";"4";"offer to help ."
"13";"5";"if accepted take part of the load ."
"13";"6";"carry load to designated place ."
"13";"7";"sit down load carefully ."
"14";"1";"see someone carrying a load ."
"14";"2";"discern that they need help ."
"14";"3";"rise to help ."
"14";"4";"offer to help ."
"14";"5";"if accepted take part of the load ."
"14";"6";"carry load to designated place ."
"14";"7";"sit down load carefully ."
"15";"1";"ask them if they could use help ."
"15";"2";"carry something that they give you to carry ."
"16";"1";"take the package from him ."
"16";"2";"carry it to his destination ."
"17";"1";"lift item ."
"17";"2";"carry ."
"17";"3";"walk ."
"18";"1";"ask them ."
"18";"2";"and grab it ."
"19";"1";"ask them ."
"19";"2";"and grab it ."
"20";"1";"be friendly ."
"20";"2";"help only when needed ."
"20";"3";"do what is needed ."
"20";"4";"carry the things ."
"20";"5";"go all the way ."
"20";"6";"open doors ."
"20";"7";"put on table ."
"21";"1";"take the item ."
"22";"1";"see the subject with things ."
"22";"2";"walk to the subject ."
"23";"1";"see the subject with things ."
"23";"2";"walk to the subject ."
"24";"1";"ask the person if they need help ."
"24";"2";"help them carry the object ."
"25";"1";"approaching the person ."
"25";"2";"extending arms to recieve object ."
"25";"3";"grasping object carefully ."
"25";"4";"walking to destination ."
"26";"1";"approach person carrying too much ."
"26";"2";"ask to carry something ."
"26";"3";"remove objects from person s hands ."
"26";"4";"walk beside person until destination reached ."
"26";"5";"place object down ."
"27";"1";"approach person carrying too much ."
"27";"2";"ask to carry something ."
"27";"3";"remove objects from person s hands ."
"27";"4";"walk beside person until destination reached ."
"27";"5";"place object down ."
"28";"1";"ask the person if they require help ."
"28";"2";"carry whatever it is they ask you to carry ."
"29";"1";"ask the person if they require help ."
"29";"2";"carry whatever it is they ask you to carry ."
