"1";"1";"ask children if they had eaten ."
"1";"2";"if not feed them ."
"2";"1";"ask the children if they have had any food ."
"2";"2";"if not feed them ."
"2";"3";"if so they are fed ."
"3";"1";"ask the children if they are hungry ."
"3";"2";"if they are hungry then prepare food for them ."
"3";"3";"after they have eaten clean up the food ."
"4";"1";"prepare food ."
"4";"2";"set table ."
"4";"3";"summon children ."
"4";"4";"serve food ."
"4";"5";"assure children eat ."
"5";"1";"prepare food ."
"5";"2";"dish up the food ."
"5";"3";"lay the table ."
"5";"4";"make sure they are seated ."
"5";"5";"serve the food ."
"5";"6";"help them use knife and fork ."
"5";"7";"serve dessert ."
"6";"1";"locate the children ."
"6";"2";"inquire to the children if they are hungry ."
"6";"3";"if the children are hungry prepare an appropriate meal for the time of day ."
"7";"1";"prepare food ."
"7";"2";"prepare dinnertable ."
"7";"3";"call children ."
"7";"4";"serve food ."
"7";"5";"make sure children eat food ."
"8";"1";"ask children if they are hungry ."
"8";"2";"if children are hungry feed them ."
"9";"1";"go to the kitchen ."
"9";"2";"cook a meal ."
"9";"3";"place meal in dishes ."
"9";"4";"put dishes on table with silverware ."
"9";"5";"call the kids to table ."
"9";"6";"say grace ."
"9";"7";"tell the kids to eat ."
"10";"1";"discover children are hungry ."
"10";"2";"ask what is desired ."
"10";"3";"find needed foods ."
"10";"4";"prepare foods ."
"10";"5";"present food ."
"10";"6";"watch children eat ."
"10";"7";"remove dishes wash replace ."
"11";"1";"get some food ."
"11";"2";"put it on a plate ."
"11";"3";"put the plate on the table ."
"11";"4";"take the children to the table ."
"12";"1";"cut some slices of bread ."
"12";"2";"spread butter on the bread ."
"12";"3";"put the bread on a plate ."
"12";"4";"give the plate to the children ."
"13";"1";"feed children big breakfast at 7am ."
"13";"2";"feed children small amount of food at 11am ."
"13";"3";"feed children large hot meal at 1pm ."
"13";"4";"feel children large hot meal at 5pm ."
"13";"5";"feel children small bowl of ice cream at 8pm ."
"14";"1";"ask children if they have been fed ."
"14";"2";"if they have not been fed select food ."
"14";"3";"prepare food ."
"14";"4";"give food to children ."
"14";"5";"watch children to ensure they eat ."
"15";"1";"open can of soup ."
"15";"2";"pour soup into pot ."
"15";"3";"heat soup ."
"15";"4";"pour soup into bowls ."
"15";"5";"seat children ."
"15";"6";"serve food ."
"15";"7";"oversee meal and kids ."
"16";"1";"ask children if they ate ."
"16";"2";"prepare food ."
"16";"3";"serve to children ."
"17";"1";"have kids wash their hands ."
"17";"2";"sit kids at table ."
"17";"3";"put the ceral in the bowl ."
"17";"4";"put the milk in the bowl ."
"17";"5";"put the bowl in front of the kids ."
"17";"6";"put spoon in the bowls ."
"18";"1";"have kids wash their hands ."
"18";"2";"sit kids at table ."
"18";"3";"put the ceral in the bowl ."
"18";"4";"put the milk in the bowl ."
"18";"5";"put the bowl in front of the kids ."
"18";"6";"put spoon in the bowls ."
"19";"1";"get food from the refrigerator ."
"19";"2";"cook food ."
"19";"3";"prepare the table ."
"19";"4";"put food on the table ."
"20";"1";"ask children if they were fed ."
"21";"1";"get kid ."
"21";"2";"get kid to sit ."
"21";"3";"get food ."
"21";"4";"put food in their mouths ."
"21";"5";"wip their faces ."
"21";"6";"feed them some more ."
"21";"7";"wip faces some more ."
"22";"1";"tell children to wash their hands ."
"22";"2";"serve small amounts of food on the plates ."
"22";"3";"tell children to sit at the table ."
"22";"4";"bring the plates to the table ."
"22";"5";"give the child a spoon ."
"22";"6";"let the kids eat ."
"23";"1";"ask children if they are hungry ."
"23";"2";"if they are walk to kitchen ."
"23";"3";"see what food you have ."
"23";"4";"decide what you can make ."
"23";"5";"find a recipe ."
"23";"6";"make food ."
"23";"7";"feed children ."
"24";"1";"go shopping ."
"24";"2";"select recipe ."
"24";"3";"gather ingredients ."
"24";"4";"make food ."
"24";"5";"feed children ."
"25";"1";"seat kids at table ."
"25";"2";"prepare food ."
"25";"3";"serve food and drinks ."
"25";"4";"watch kids eat ."
"25";"5";"serve second servings ."
"25";"6";"wash hands and plates ."
"25";"7";"kids are fed! ."
