"1";"1";"lift dishes ."
"2";"1";"bend over ."
"2";"2";"grasp the dishes ."
"2";"3";"stand up again ."
"2";"4";"place the now dirty dishes in the sink ."
"3";"1";"pick a dish up and place it on another dish ."
"3";"2";"continue until all dishes are in one stack ."
"3";"3";"pick up the stack ."
"3";"4";"carry the stack to the kitchen sink ."
"3";"5";"place the stack in the sink ."
"4";"1";"walk into the dining room ."
"4";"2";"pick up the dishes on the table ."
"4";"3";"walk into the living room ."
"4";"4";"pick  up the dishes on the tables ."
"4";"5";"go to the kitchen ."
"4";"6";"drop off the dishes ."
"5";"1";"extend hand toward dish ."
"5";"2";"grab dish ."
"5";"3";"lift dish ."
"6";"1";"walk to table ."
"6";"2";"take dishes ."
"7";"1";"go to dishes ."
"7";"2";"pick them up ."
"8";"1";"find a dish ."
"8";"2";"move to the dish ."
"8";"3";"pick up the dish ."
"8";"4";"put the dish in its storage place ."
"8";"5";"repeat until all dishes have been picked up ."
"9";"1";"go the where dishes are ."
"9";"2";"using hands lift dishes ."
"9";"3";"take dishes to kitchen ."
"10";"1";"gather the dishes into a pile ."
"10";"2";"raise the dishes up off of where they are sitting ."
"10";"3";"carry the dishes where they need to be taken ."
"11";"1";"bend down ."
"11";"2";"grab the dishes with your hands from the floor ."
"11";"3";"raise back up to a standing position while holding the dishes ."
"12";"1";"locate dishes in room ."
"12";"2";"move to first dish ."
"12";"3";"pick up first dish ."
"12";"4";"if all dishes have been picked up continue to kitchen ."
"12";"5";"otherwise locate next dish ."
"12";"6";"move to next dish and pick it up ."
"12";"7";"check step 4 ."
"13";"1";"get dishes ."
"13";"2";"take to kitchen ."
"14";"1";"bend you knees ."
"14";"2";"pick up the dishes ."
"15";"1";"pick up dishes from dining table ."
"15";"2";"take dishes to kitchen ."
"16";"1";"go to the dishes ."
"16";"2";"hold the dishes in your hand ."
"16";"3";"raise your hand ."
"17";"1";"pick up dishes ."
"18";"1";"pick up the dishes ."
"19";"1";"locate a dish in the room ."
"19";"2";"pick up the dish ."
"20";"1";"locate a dish in the room ."
"20";"2";"pick up the dish ."
"20";"3";"place it in the sink or dishwasher ."
"20";"4";"repeat steps 1-3 until all dishes are picked up ."
"21";"1";"look around house for any dishes that are dirty ."
"21";"2";"place all those dishes in the sick for washing ."
"22";"1";"look around house for any dishes that are dirty ."
"22";"2";"place all those dishes in the sick for washing ."
"23";"1";"walk to table ."
"23";"2";"pick up the dishes from the table ."
"23";"3";"walk to sink ."
"23";"4";"place them gentle in the sink ."
"24";"1";"walk to table ."
"24";"2";"pick up the dishes from the table ."
"24";"3";"walk to sink ."
"24";"4";"place them gentle in the sink ."
"25";"1";"walk to table ."
"25";"2";"pick up the dishes from the table ."
"25";"3";"walk to sink ."
"25";"4";"place them gentle in the sink ."
"26";"1";"walk over to dishes ."
"26";"2";"using two hands grab each side of dish ."
"26";"3";"lift off counter/table ."
"27";"1";"bend over ."
"27";"2";"grap dish ."
"27";"3";"put down dish ."
"27";"4";"repeat 1 - 3 until no dishes left ."
"28";"1";"bend over ."
"28";"2";"grap dish ."
"28";"3";"put down dish ."
"28";"4";"repeat 1 - 3 until no dishes left ."
"29";"1";"pick up dishes ."
"30";"1";"reach out your hands ."
"30";"2";"grasp dishes ."
"30";"3";"lift them up ."
"31";"1";"go to table ."
"31";"2";"stack a few like dishes neatly ."
"31";"3";"bring to kitchen ."
"31";"4";"return and repeat with more dishes ."
"32";"1";"go to table ."
"32";"2";"stack a few like dishes neatly ."
"32";"3";"bring to kitchen ."
"32";"4";"return and repeat with more dishes ."
"33";"1";"go to table ."
"33";"2";"stack a few like dishes neatly ."
"33";"3";"bring to kitchen ."
"33";"4";"return and repeat with more dishes ."
"34";"1";"bend over ."
"34";"2";"grab dishes ."
"34";"3";"stand up ."
"34";"4";"return dishes to a safe place ."
"35";"1";"find dishes ."
"35";"2";"take dishes ."
