"1";"1";"planning ."
"1";"2";"trying ."
"1";"3";"writing ."
"1";"4";"finishing ."
"1";"5";"saving ."
"1";"6";"printing ."
"1";"7";"mailing ."
"2";"1";"get a paper ."
"2";"2";"get a pen ."
"2";"3";"start writing ."
"3";"1";"think of what needs to be on the list ."
"3";"2";"write down the items on the list ."
"3";"3";"use the list to determine items needed ."
"4";"1";"determine what you need to do ."
"4";"2";"locate a piece of paper ."
"4";"3";"locate a writing implement ."
"4";"4";"write on the paper each item you need to do singly ."
"5";"1";"come up with things to be on the list ."
"5";"2";"write the things down on a list ."
"6";"1";"locate paper ."
"6";"2";"get paper ."
"6";"3";"locate pen ."
"6";"4";"get pen ."
"6";"5";"write list of tasks on the paper using the pen ."
"7";"1";"get paper and pen ."
"7";"2";"think of items on the list ."
"7";"3";"write items down ."
"8";"1";"get a piece of paper ."
"8";"2";"get a pencil ."
"8";"3";"write down each item for your list ."
"9";"1";"get paper and pencil ."
"9";"2";"write down items on list ."
"10";"1";"grab piece of paper ."
"10";"2";"grab pencil or pen ."
"10";"3";"write down items one by one ."
"11";"1";"grab piece of paper ."
"11";"2";"grab pencil or pen ."
"11";"3";"write down items one by one ."
"12";"1";"think of item ."
"12";"2";"write item on paper ."
"12";"3";"think of another item ."
"12";"4";"write item on next line ."
"12";"5";"repeat 3 and 4 ."
"13";"1";"take piece of paper ."
"13";"2";"take pencil or pen ."
"13";"3";"write items on list until complete ."
"14";"1";"get a pen ."
"14";"2";"get some paper ."
"14";"3";"think of the items ."
"14";"4";"write them down ."
