"1";"1";"boil some water ."
"1";"2";"put a tea bag in the cup ."
"1";"3";"pour the hot water into the cup over the tea bag ."
"1";"4";"cover the cup and wait for 5 minutes ."
"1";"5";"remove the tea bag ."
"2";"1";"heat water ."
"2";"2";"pour a cup of water ."
"2";"3";"add a tea bag to the cup of water ."
"2";"4";"wait ."
"3";"1";"take a teapot ."
"3";"2";"put some dry tealeaves into the teapot ."
"3";"3";"pour boiled/hot water into the teapot ."
"3";"4";"wait for 2 minutes ."
"3";"5";"pour the tea into a cup ."
"4";"1";"boil water ."
"4";"2";"add tea ."
"4";"3";"remove teapot from stove ."
"5";"1";"get tea ."
"5";"2";"boil water ."
"5";"3";"place tea leaves in bioling water ."
"5";"4";"turn off stove ."
"5";"5";"leave to cool down ."
"6";"1";"pour water in pot ."
"6";"2";"boil water ."
"6";"3";"put tea leaves in pot ."
"6";"4";"wait for a little while ."
"6";"5";"remove pot from stove ."
"7";"1";"boil water ."
"7";"2";"when water boils add tea leaves ."
"7";"3";"remove water from stove ."
"7";"4";"wait for a few minutes ."
"8";"1";"boil water ."
"8";"2";"when water boils add tea leaves ."
"8";"3";"wait for a couple of minutes ."
"8";"4";"remove teapot from stove ."
"9";"1";"boil water in tea pot ."
"9";"2";"when water is boiling add tea leaves ."
"9";"3";"remove tea pot from stove ."
"9";"4";"leave for a few minutes ."
"10";"1";"locate tea mix ."
"10";"2";"place tea mix in an empty cup ."
"10";"3";"pour water into the cup ."
"10";"4";"mix the ingredients in the cup ."
"10";"5";"enjoy the tea ."
"11";"1";"fill pot with water ."
"11";"2";"heat water ."
"11";"3";"pour water into cup ."
"11";"4";"place tea-packet into cup ."
"11";"5";"wait until water has darkened to desired color ."
"11";"6";"remove tea-packet with spoon ."
"12";"1";"boil water ."
"12";"2";"pour water in a mug ."
"12";"3";"put a tea bag in the mug ."
"12";"4";"put sugar and milk in the mug ."
"12";"5";"take out the tea bag ."
"13";"1";"fill teapot with water ."
"13";"2";"place teapot on stove burner ."
"13";"3";"when water boils turn off stove ."
"13";"4";"add tea to teapot ."
"14";"1";"fill teapot with water ."
"14";"2";"place teapot on stove ."
"14";"3";"turn on stove ."
"14";"4";"when water boils turn off stove ."
"14";"5";"place tea in teapot ."
"15";"1";"boil some water in a kettle ."
"15";"2";"get a cup ."
"15";"3";"get a bag of tea ."
"15";"4";"put the bag of tea in the cup ."
"15";"5";"pour the boiling water into the cup ."
"15";"6";"let the tea sit in the cup for about 2 minutes ."
"15";"7";"remove the bag of tea and discard it ."
"16";"1";"boil water ."
"16";"2";"add tea ."
"16";"3";"add sugar ."
"16";"4";"add cream ."
"16";"5";"put it in a teapot ."
"17";"1";"heat water ."
"17";"2";"select teabag ."
"17";"3";"place teabag in cup ."
"17";"4";"pour boiling water into cup ."
"17";"5";"wait 3 to 10 minutes ."
"17";"6";"remove tea bag ."
"18";"1";"heat water ."
"18";"2";"soak tea in water ."
"18";"3";"wait five minutes ."
"18";"4";"extract soaking tea ."
"18";"5";"drink ."
"19";"1";"boil water ."
"19";"2";"pour hot water ."
"19";"3";"place in teabag ."
"20";"1";"boil water ."
"20";"2";"add in tea ."
"20";"3";"wait 2 minutes ."
"21";"1";"boil water ."
"21";"2";"add in tea ."
"21";"3";"wait 2 minutes ."
"22";"1";"boil water in the kettle ."
"22";"2";"scoop up some tea leaves into the teaball ."
"23";"1";"boil water in the kettle ."
"23";"2";"scoop up some tea leaves into the teaball ."
"23";"3";"warm the terapot with boiling water ."
"24";"1";"boil water in the kettle ."
"24";"2";"scoop up some tea leaves into the teaball ."
"24";"3";"warm the teapot with boiling water ."
"24";"4";"pour the water out of the teapot ."
"24";"5";"putthe teaball into the teapot ."
"25";"1";"put water in tea kettle ."
"25";"2";"put tea kettle on stove ."
"25";"3";"put tea bag in mug ."
"25";"4";"pour hot water over tea bag in mug ."
"25";"5";"steep tea ."
"25";"6";"drink ."
"26";"1";"boil water ."
"26";"2";"place tea bag in coffee cup ."
"26";"3";"add water ."
"26";"4";"allow to steep ."
"26";"5";"remove tea bag ."
"27";"1";"turn stove burner on ."
"27";"2";"fill tea pot with water ."
"27";"3";"place tea pot on burner ."
"28";"1";"fill kettle with water ."
"28";"2";"boil water ."
"28";"3";"warm teapot with hot water ."
"28";"4";"place tea bag in teapot ."
"28";"5";"add boiled water to teapot ."
"28";"6";"let tea steep several minutes ."
"28";"7";"pour into teacups ."
"29";"1";"picking the tea you want ."
"29";"2";"opening the package ."
"29";"3";"putting water in a cup ."
"29";"4";"put tea bag in cup ."
"29";"5";"let tea seep ."
"29";"6";"take tea bag out of cup ."
"29";"7";"drink tea ."
"30";"1";"boil water ."
"30";"2";"add teabag to cup ."
"30";"3";"pour water into cup ."
"31";"1";"boil water ."
"31";"2";"add teabag to cup ."
"31";"3";"pour water into cup ."
"32";"1";"boil water ."
"32";"2";"add teabag to cup ."
"32";"3";"pour water into cup ."
"33";"1";"boil water ."
"33";"2";"add teabag to cup ."
"33";"3";"pour water into cup ."
"34";"1";"boil water ."
"34";"2";"add teabag to cup ."
"34";"3";"pour water into cup ."
"35";"1";"boil water ."
"35";"2";"add teabag to cup ."
"35";"3";"pour water into cup ."
"36";"1";"boil water ."
"36";"2";"heat tea pot ."
"36";"3";"add teabag to tea pot ."
"36";"4";"add boiled water ."
"36";"5";"let steep ."
"36";"6";"serve ."
"37";"1";"boil water ."
"37";"2";"heat tea pot ."
"37";"3";"add teabag to tea pot ."
"37";"4";"add boiled water ."
"37";"5";"let steep ."
"37";"6";"serve ."
"38";"1";"boil water ."
"38";"2";"heat tea pot ."
"38";"3";"add teabag to tea pot ."
"38";"4";"add boiled water ."
"38";"5";"let steep ."
"38";"6";"serve ."
"39";"1";"boil water ."
"39";"2";"heat tea pot ."
"39";"3";"add teabag to tea pot ."
"39";"4";"add boiled water ."
"39";"5";"let steep ."
"39";"6";"serve ."
"40";"1";"locate kettle ."
"40";"2";"pour water in kettle ."
"40";"3";"turn on kettle to boil water ."
"40";"4";"pour boiled water in mug ."
