"1";"1";"give hand to person ."
"1";"2";"grab his hand ."
"1";"3";"pull towards you ."
"2";"1";"find that person ."
"2";"2";"walk to that person ."
"2";"3";"tell that person you re going to help ."
"2";"4";"hold his/her arms ."
"2";"5";"pull him/her up ."
"3";"1";"crouch or bend over ."
"3";"2";"acquire stable footing ."
"3";"3";"offer hand to person ."
"3";"4";"lean backwards ."
"3";"5";"pull gently ."
"4";"1";"go to person ."
"4";"2";"hold person s hand ."
"4";"3";"pull hand toward you ."
"5";"1";"locate the person ."
"5";"2";"go to the person ."
"5";"3";"hold the person s arm and waist ."
"5";"4";"tell the person to stand up ."
"5";"5";"hold the person s arm and waist while s/he stands up ."
"6";"1";"go next to person ."
"6";"2";"hold person s hand ."
"6";"3";"standing in front of person pull hand towards yourself ."
"7";"1";"go to person ."
"7";"2";"standing in front of person grab person s hand ."
"7";"3";"pull person s arm up toward you ."
"8";"1";"go over to the person ."
"8";"2";"grasp the person s arm ."
"8";"3";"gently pull the person up ."
"8";"4";"watch the person s feet so the person doesn t slip ."
"8";"5";"put your hand on the person s back so the person doesn t fall backward ."
"9";"1";"identify person ."
"9";"2";"approach person ."
"9";"3";"extend hand to person ."
"9";"4";"pull person ."
"9";"5";"release person ."
"10";"1";"go to person ."
"10";"2";"put arm under arm of person ."
"10";"3";"lift person ."
"10";"4";"make sure person is standing firmly ."
"11";"1";"hold person s hand ."
"11";"2";"brace ."
"11";"3";"counter person s weight ."
"12";"1";"stand in front of person ."
"12";"2";"hold out hand ."
"12";"3";"grasp person s hand ."
"12";"4";"pull on person s hand ."
"13";"1";"grab arm of person ."
"13";"2";"help raise them up ."
"14";"1";"grab arm of person ."
"14";"2";"help raise them up ."
"15";"1";"grab their arms ."
"15";"2";"pull ."
"16";"1";"go to person ."
"16";"2";"lift person ."
"17";"1";"go to person ."
"17";"2";"lift person ."
"18";"1";"stand in front of person ."
"18";"2";"put out your arms to person ."
"18";"3";"allow person to lever them sleves against you ."
"18";"4";"put gentlely on person as they raise ."
"18";"5";"make sure they are steady on there feet ."
"18";"6";"let go of person ."
"19";"1";"stand next to the person ."
"19";"2";"extend your arm ."
"19";"3";"let the person grip your arm as they stand ."
"20";"1";"stand up ."
"20";"2";"walk to them ."
"20";"3";"ask them if they want help ."
"20";"4";"hold onto their arm ."
"20";"5";"pull ."
"20";"6";"walk away ."
"21";"1";"hold person ."
"21";"2";"pull person up ."
"21";"3";"assist person ."
"21";"4";"assist person in standing ."
"21";"5";"assist perosn in standing up ."
"21";"6";"help person ."
"21";"7";"help ."
"22";"1";"reach out your arm ."
"22";"2";"take hold of their hand ."
"22";"3";"pull vigorously ."
"22";"4";"pull again ."
"22";"5";"get ice water ."
"22";"6";"dump it on them ."
"22";"7";"run like mad ."
"23";"1";"reach out your arm ."
"23";"2";"take hold of their hand ."
"23";"3";"pull vigorously ."
"23";"4";"pull again ."
"23";"5";"get ice water ."
"23";"6";"dump it on them ."
"23";"7";"run like mad ."
