"1";"1";"find a bucket ."
"1";"2";"fill the buket with water ."
"1";"3";"find a mop ."
"1";"4";"dunk the mop in the bucket ."
"1";"5";"wipe the floor ."
"2";"1";"get broom ."
"2";"2";"sweep floor ."
"2";"3";"put away broom ."
"2";"4";"get mop ."
"2";"5";"get water ."
"2";"6";"mop floor ."
"2";"7";"put away mop and water ."
"3";"1";"make cleaning solvent using water and detergent ."
"3";"2";"place solvent in bucket ."
"4";"1";"get cleaning chemicals ."
"4";"2";"get a bucket of water ."
"4";"3";"get a mop ."
"4";"4";"dip mop in water ."
"4";"5";"spray chemicals on floor ."
"4";"6";"move mop over the floor ."
"5";"1";"take out the mop ."
"5";"2";"take out the mop bucket ."
"5";"3";"place water in the mop bucket ."
"5";"4";"dip the mop in the bucket ."
"5";"5";"run the mop over the floor ."
"5";"6";"put mop away when the floor is clean ."
"6";"1";"get mop ."
"6";"2";"wet mop ."
"6";"3";"mop the floor ."
"6";"4";"dry mop ."
"7";"1";"pick up any large objects ."
"7";"2";"sweep up any dust or small objects ."
"7";"3";"wash the floor with a mop and water ."
"7";"4";"let the floor dry ."
"8";"1";"fill a bucket with water ."
"8";"2";"add pinesol ."
"8";"3";"dip a mop into the water ."
"8";"4";"squeeze excess water from the mop ."
"8";"5";"run the mop over the entire floor ."
"8";"6";"empty the bucket into the tub ."
"8";"7";"replace the bucket and mop ."
"9";"1";"get mop and water ."
"9";"2";"wet mop removing excess water ."
"9";"3";"wipe floor with mop ."
"9";"4";"if mop get dirty go to step 2 until floor is clean ."
"10";"1";"locate a mop ."
"10";"2";"locate a bucket ."
"10";"3";"locate soap ."
"10";"4";"fill the bucket with water ."
"10";"5";"add soap to the water in the bucket ."
"10";"6";"utilize mop to spread soapy water across floor ."
"11";"1";"find broom and dustpan ."
"11";"2";"sweep dirt on floor into dustpan ."
"11";"3";"throw gathered dirt in the trash ."
"12";"1";"get a mop ."
"12";"2";"get bucket of water with detergent ."
"12";"3";"put the mop in the bucket ."
"12";"4";"use the mop to clean the floor ."
"12";"5";"refresh the mop in the bucket ."
"13";"1";"place mop into bucket ."
"13";"2";"place mop on floor ."
"13";"3";"mop floor ."
"14";"1";"broom the floor ."
"14";"2";"mop the floor ."
"14";"3";"dry the floor ."
"14";"4";"apply wax to shine the floor ."
"15";"1";"get mop ."
"15";"2";"wet the mop ."
"15";"3";"mop the floor ."
"16";"1";"get mop ."
"16";"2";"wet the mop ."
"16";"3";"mop the floor ."
"17";"1";"pick up the objects on the floor ."
"17";"2";"sweep the floor with a broom ."
"17";"3";"fill a mop bucket with water ."
"17";"4";"put the mop in the water ."
"17";"5";"squeeze out the mop ."
"17";"6";"run the mop over the floor ."
"17";"7";"wash the mop ."
"18";"1";"get broom and dustpan ."
"18";"2";"place dustpan on floor ."
"18";"3";"sweep dirt into dustpan using broom ."
"18";"4";"empty dustpan into trashcan ."
"18";"5";"repeat 2 through 4 until floor is clean ."
"19";"1";"clear the floor ."
"19";"2";"vacuum the floor ."
"19";"3";"wash the floor ."
"19";"4";"replace furniture ."
"20";"1";"sweep floor ."
"20";"2";"vacuum floor ."
"21";"1";"pick up objects ."
"22";"1";"pick up objects ."
"23";"1";"place washrag assigned for floor washing in a bucket of soapy water ."
"23";"2";"use assigned washrag to wash the dirty floor ."
"23";"3";"rinse washrag to remove dirt from it periodicly in bucket of water ."
"24";"1";"place washrag assigned for floor washing in a bucket of soapy water ."
"24";"2";"use assigned washrag to wash the dirty floor ."
"24";"3";"rinse washrag to remove dirt from it periodicly in bucket of water ."
"25";"1";"sweep the floor ."
"25";"2";"sweep crumbs into a dust pan ."
"25";"3";"toss crumbs in the trash ."
"25";"4";"take out mop ."
"25";"5";"put warm water and dime size amount of soap in bucket ."
"25";"6";"put mop in bucket ."
"25";"7";"put mop on floor clean in straight pattern ."
"26";"1";"identify the floor type ."
"26";"2";"pick one of the following: ."
"26";"3";"vacuum dry messes on carpets ."
"26";"4";"mop up wet or hard to get off spills on solid floors with a mop ."
"26";"5";"sweep loose debris on solid floors with a broom ."
"27";"1";"pick up large objects off the floor ."
"27";"2";"if the floor is carpeted vacuum it ."
"27";"3";"if the floor is a hard surface sweep it and then mop it ."
"28";"1";"pick up large objects off the floor ."
"28";"2";"if the floor is carpeted vacuum it ."
"28";"3";"if the floor is a hard surface sweep it and then mop it ."
"29";"1";"pick up large objects off the floor ."
"29";"2";"if the floor is carpeted vacuum it ."
"29";"3";"if the floor is a hard surface sweep it and then mop it ."
"30";"1";"pick up large objects off the floor ."
"30";"2";"if the floor is carpeted vacuum it ."
"30";"3";"if the floor is a hard surface sweep it and then mop it ."
"31";"1";"pick up large objects off the floor ."
"31";"2";"if the floor is carpeted vacuum it ."
"31";"3";"if the floor is a hard surface sweep it and then mop it ."
"32";"1";"pick up large objects off the floor ."
"32";"2";"if the floor is carpeted vacuum it ."
"32";"3";"if the floor is a hard surface sweep it and then mop it ."
"33";"1";"pick up large objects off the floor ."
"33";"2";"if the floor is carpeted vacuum it ."
"33";"3";"if the floor is a hard surface sweep it and then mop it ."
"34";"1";"pick up large objects off the floor ."
"34";"2";"if the floor is carpeted vacuum it ."
"34";"3";"if the floor is a hard surface sweep it and then mop it ."
"35";"1";"pick up large objects off the floor ."
"35";"2";"if the floor is carpeted vacuum it ."
"35";"3";"if the floor is a hard surface sweep it and then mop it ."
"36";"1";"pick up large objects off the floor ."
"36";"2";"if the floor is carpeted vacuum it ."
"36";"3";"if the floor is a hard surface sweep it and then mop it ."
"37";"1";"pick up large objects off the floor ."
"37";"2";"if the floor is carpeted vacuum it ."
"37";"3";"if the floor is a hard surface sweep it and then mop it ."
"38";"1";"pick up large objects off the floor ."
"38";"2";"if the floor is carpeted vacuum it ."
