"1";"1";"locate broom ."
"1";"2";"pick up broom ."
"1";"3";"run broom across floor gathering dust into a pile ."
"1";"4";"throw away the dust and dirt ."
"2";"1";"locate broom ."
"2";"2";"run broom across floor to gather dust into a pile ."
"2";"3";"place dust pile in trash can ."
"3";"1";"take broom ."
"3";"2";"move broom back on forth ."
"3";"3";"move garbage towards some location ."
"3";"4";"pick up garbage and throw away ."
"4";"1";"get the water ."
"4";"2";"splash the water on the floor ."
"5";"1";"get a broom ."
"5";"2";"brush the broom accross the floor ."
"6";"1";"obtain a broom ."
"6";"2";"push the bristle end of the broom on the floor ."
"6";"3";"push dirt into a pile ."
"6";"4";"push the dirt pile into a dust pan ."
"6";"5";"empty the dust pan into the trash ."
"7";"1";"get broom ."
"7";"2";"start sweeping ."
"7";"3";"gather dirt ."
"7";"4";"throw away dirt ."
"8";"1";"get out a broom ."
"8";"2";"bush the broom accross the floor gathering all the dirt into one spot ."
"8";"3";"sweep the pile of debris into a dustpan ."
"8";"4";"empty the dustpan into the trash ."
"8";"5";"replace the broom and dustpan ."
"9";"1";"getting a broom ."
"9";"2";"using the broom to push dust onto a dust pan ."
"9";"3";"emptying the dust pan over a trash can ."
"10";"1";"getting a broom ."
"10";"2";"pushing the broom back and forth to collect dust ."
"10";"3";"using the broom to push the dust onto a dustpan ."
"10";"4";"emptying the dust pan over a trash can ."
"11";"1";"get broom ."
"11";"2";"move broom so that to collect dirt ."
"11";"3";"remove dirt ."
"12";"1";"get broom ."
"12";"2";"start sweeping from one side of room ."
"12";"3";"advance toward the other side ."
"12";"4";"gather dirt and throw away ."
"13";"1";"get broom ."
"13";"2";"with broom sweep floor in one direction ."
"13";"3";"cover all floor ."
"13";"4";"gather dirt and throw away ."
"14";"1";"get broom ."
"14";"2";"hold broom with two hands ."
"14";"3";"move broom across floor so that dirt is moved into a direction ."
"14";"4";"collect dirt and throw away ."
"15";"1";"remove large objects from floor ."
"15";"2";"obtain broom ."
"15";"3";"move broom across floor ."
"15";"4";"repeat until surface of floor is covered ."
"15";"5";"repeat three times ."
"16";"1";"take broom ."
"16";"2";"with broom touching floor sweep broom ."
"16";"3";"move dirt into pile ."
"16";"4";"remove dirt from pile ."
"17";"1";"take a sweep ."
"17";"2";"select area to sweep ."
"17";"3";"sweep the whole area selected ."
"18";"1";"find broom ."
"18";"2";"move broom s brush back and forth across the floor ."
"18";"3";"repeat until the floor is clean ."
"19";"1";"take a broom ."
"19";"2";"use broom to sweep a floor ."
"19";"3";"gather all dust in one place ."
"19";"4";"use broom to put it on a scoop ."
"19";"5";"put all dust from a scoop into dustbin ."
"20";"1";"get a broom ."
"20";"2";"rub the bristles of the broom across the floor ."
"20";"3";"sweep all dust and trash into one pile on the floor ."
"20";"4";"get a dust pan ."
"20";"5";"sweep all dust and trash into the dust pan ."
"20";"6";"dispose of the dust and trash ."
"21";"1";"locate a broom ."
"21";"2";"locate a dust pan ."
"21";"3";"utilize the broom to sweep dirt on the floor into one pile ."
"21";"4";"sweep dirt from pile into dust pan ."
"21";"5";"discard of dirt in a trash receptacle ."
"22";"1";"get a broom ."
"22";"2";"hold the broom by the handle ."
"22";"3";"run the bristles of the broom over the floor ."
"22";"4";"push all the dust and grime out the door with the broom ."
"23";"1";"get broom ."
"23";"2";"sweep up dust into pile ."
"23";"3";"sweep pile into dustpan ."
"23";"4";"empty dustpan ."
"24";"1";"identify floor ."
"24";"2";"identify broom ."
"24";"3";"grasp broom ."
"24";"4";"sweep broom against floor ."
"24";"5";"move dirt off of floor using sweeping motion of broom ."
"24";"6";"put broom away ."
"25";"1";"take the broom ."
"25";"2";"sweep the floor with the broom ."
"26";"1";"get broom ."
"26";"2";"get dustpan ."
"26";"3";"sweep dirt into pile ."
"26";"4";"put dirt into dustpan ."
"26";"5";"throw dirt away ."
"26";"6";"repeat as necessary ."
"26";"7";"store broom and dustpan ."
"27";"1";"notice floor is dirty ."
"27";"2";"decide to sweep ."
"27";"3";"put pets outside ."
"27";"4";"find broom ."
"27";"5";"sweep up dirt into dustpan ."
"27";"6";"empty dustpan ."
"27";"7";"let in dogs and note they re bring in more dirt! ."
"28";"1";"clear and area of the floor ."
"28";"2";"use broom to sweep the dirt together ."
"28";"3";"use dust pan to pick up dirt ."
"28";"4";"put dirt in trash can ."
"28";"5";"put cleared items back ."
"28";"6";"continue ."
"28";"7";"put away broom and dust pan ."
"29";"1";"get broom ."
"29";"2";"goto floor corner ."
"29";"3";"push and pull broom across floor ."
"29";"4";"cover entire floor ."
"30";"1";"get broom ."
"30";"2";"goto floor corner ."
"30";"3";"push and pull broom across floor ."
"30";"4";"cover entire floor ."
"31";"1";"sweep floor with broom ."
"31";"2";"pick up dust with dustpan ."
"32";"1";"sweep floor with broom ."
"32";"2";"pick up dust with dustpan ."
"33";"1";"pushthe dirt with the broom into little piles ."
"33";"2";"push all the little piles together ."
"33";"3";"sweep the piles into the dustpan ."
"34";"1";"find broom ."
"34";"2";"drag accross floor ."
"34";"3";"pile dirt up ."
"34";"4";"scoop up dirt ."
"34";"5";"throw dirt away ."
"35";"1";"get the electric broom ."
"35";"2";"use the broom over intire floor surface without carpet ."
"35";"3";"when all dirt and dust is removed from the floors ."
"35";"4";"place the electric broom back where it was ."
"36";"1";"get the electric broom ."
"36";"2";"use the broom over intire floor surface without carpet ."
"36";"3";"when all dirt and dust is removed from the floors ."
"36";"4";"place the electric broom back where it was ."
"37";"1";"find the floor ."
"37";"2";"sweep it ."
"38";"1";"get broom and dust pan ."
"38";"2";"sweep broom head across the floor ."
"38";"3";"sweep dirt into a pile ."
"38";"4";"hold dust pan to floor ."
"38";"5";"sweep pile of dirt onto dust pan ."
"38";"6";"repeat until floor is clean ."
"39";"1";"grasp broom ."
"39";"2";"sweep dirt into one main pile ."
"39";"3";"sweep dirt pile into dustbin ."
"39";"4";"dispose of dirt in dustbin ."
"40";"1";"grasp broom ."
"40";"2";"sweep dirt into one main pile ."
"40";"3";"sweep dirt pile into dustbin ."
"40";"4";"dispose of dirt in dustbin ."
"41";"1";"grasp broom ."
"41";"2";"sweep dirt into one main pile ."
"41";"3";"sweep dirt pile into dustbin ."
"41";"4";"dispose of dirt in dustbin ."
"42";"1";"grasp broom ."
"42";"2";"sweep dirt into one main pile ."
"42";"3";"sweep dirt pile into dustbin ."
"42";"4";"dispose of dirt in dustbin ."
"43";"1";"grasp broom ."
"43";"2";"sweep dirt into one main pile ."
"43";"3";"sweep dirt pile into dustbin ."
"43";"4";"dispose of dirt in dustbin ."
"44";"1";"grasp broom ."
"44";"2";"sweep dirt into one main pile ."
"44";"3";"sweep dirt pile into dustbin ."
"44";"4";"dispose of dirt in dustbin ."
"45";"1";"get a broom ."
"45";"2";"make forward motions with the broom to gather dirt from floor ."
"45";"3";"get a dustpan ."
"45";"4";"sweep the dirt with broom into dustpan ."
"45";"5";"throw contents of dustpan in the garbage ."
"45";"6";"repeat as many times as needed ."
"46";"1";"get a broom ."
"46";"2";"make forward motions with the broom to gather dirt from floor ."
"46";"3";"get a dustpan ."
"46";"4";"sweep the dirt with broom into dustpan ."
"46";"5";"throw contents of dustpan in the garbage ."
"46";"6";"repeat as many times as needed ."
"47";"1";"obtain sweeper ."
"47";"2";"sweep ."
"47";"3";"sweep into dustbin ."
"47";"4";"empty dustbin ."
"47";"5";"repeat 2 -4 as necesary ."
"48";"1";"obtain sweeper ."
"48";"2";"sweep ."
"48";"3";"sweep into dustbin ."
"48";"4";"empty dustbin ."
"48";"5";"repeat 2 -4 as necesary ."
"49";"1";"take out broom ."
"49";"2";"sweep broom over floor ."
"49";"3";"sweep dirt into pan ."
"49";"4";"throw dirt into garbage ."
"50";"1";"find broom ."
"50";"2";"sweep dirt into pile ."
"50";"3";"sweep into dustpan ."
"50";"4";"throw in garbage ."
"51";"1";"find broom ."
"51";"2";"sweep dirt into pile ."
"51";"3";"sweep into dustpan ."
"51";"4";"throw in garbage ."
"52";"1";"take broom ."
"52";"2";"sweep floor ."
"52";"3";"collect dirt ."
"52";"4";"put broom away ."
"53";"1";"run broom over floor ."
"53";"2";"sweep dirt into a mound ."
"53";"3";"sweep mound into dustpan ."
