"1";"1";"find some paper ."
"1";"2";"find a pen ."
"1";"3";"write the letter ."
"2";"1";"find writing paper ."
"2";"2";"find a pen or pencil ."
"2";"3";"write a message on the paper with the pen or pencil ."
"3";"1";"determine the recipient of the letter ."
"3";"2";"determine the content of the letter ."
"3";"3";"locate a few pieces of paper ."
"3";"4";"locate a writing implement ."
"3";"5";"using the writing implement transcribe the thoughts onto the paper ."
"4";"1";"find paper ."
"4";"2";"find a pen ."
"4";"3";"decide who to write to ."
"4";"4";"use pen to write words on paper ."
"5";"1";"pick up a piece of paper ."
"5";"2";"pick up a pen ."
"5";"3";"write the letter on paper using the pen ."
"5";"4";"put the completed letter in an envelope ."
"5";"5";"close the envelope ."
"5";"6";"put the receiver information ."
"5";"7";"put appropriate stamps ."
"6";"1";"get paper ."
"6";"2";"get pencil ."
"6";"3";"write on paper ."
"6";"4";"fold paper ."
"6";"5";"put in envelope ."
"7";"1";"find paper ."
"7";"2";"find pen ."
"7";"3";"write on the paper using pen ."
"7";"4";"find envelope ."
"7";"5";"put letter in envelope ."
"7";"6";"write address on envelope ."
"7";"7";"put stamp on envelope ."
"8";"1";"find a sheet of lined stationary paper ."
"8";"2";"find a pencil or pen ."
"9";"1";"get paper ."
"9";"2";"write letter content ."
"9";"3";"fold paper ."
"9";"4";"put folded paper in envelope ."
"9";"5";"seal envelope ."
"9";"6";"write address on envelope ."
"9";"7";"stamp and mail envelope ."
"10";"1";"get paper ."
"10";"2";"get pen ."
"10";"3";"write text of letter ."
"11";"1";"get paper and pencil ."
"11";"2";"write message on paper ."
"11";"3";"sign name and date ."
"11";"4";"put in envelope ."
"12";"1";"think of content ."
"12";"2";"write content in wordprocessing program ."
"12";"3";"print letter ."
"13";"1";"locate paper ."
"13";"2";"record message for letter ."
"13";"3";"print letter onto paper ."
"13";"4";"prepare letter for mailing ."
"14";"1";"get a pen ."
"14";"2";"get some paper ."
"14";"3";"write the letter ."
"15";"1";"collect paper an envelope and a writing utensil ."
"15";"2";"address the letter and envelope ."
"15";"3";"write that which needs to be written ."
"15";"4";"sign it ."
"15";"5";"fold the letter ."
"15";"6";"put it in the envelope ."
"15";"7";"seal the envelope ."
"16";"1";"get a pen ."
"16";"2";"get some paper ."
"16";"3";"write down what you want to say ."
"16";"4";"put it in an envelope ."
"16";"5";"put a stamp on it ."
"16";"6";"post it in a letter box ."
"17";"1";"find paper ."
"17";"2";"find pencil ."
"17";"3";"identify who this is written to ."
"17";"4";"decide what to write ."
"17";"5";"write ."
"17";"6";"place in envelope ."
"17";"7";"mail envelope ."
"18";"1";"get paper ."
"18";"2";"get a pencil ."
"18";"3";"write letter ."
"18";"4";"sign ."
"19";"1";"find a piece of paper ."
"19";"2";"find a pen or pencil ."
"19";"3";"write words on the paper ."
"19";"4";"find a envelope ."
"19";"5";"put the paper in the envelope ."
"20";"1";"decide who to write ."
"20";"2";"find paper ."
"20";"3";"find pen ."
"20";"4";"address envelope ."
"20";"5";"write letter ."
"20";"6";"put stamp on envelope ."
"20";"7";"mail letter ."
"21";"1";"find paper ."
"21";"2";"write letter ."
"21";"3";"put letter in envelope ."
"22";"1";"find paper ."
"22";"2";"write letter ."
"22";"3";"put letter in envelope ."
"23";"1";"take out some paper ."
"23";"2";"address the letter ."
"23";"3";"write the letter on the paper ."
"23";"4";"fold the paper and put in an envelope ."
"23";"5";"address the envelope ."
"23";"6";"seal the envelope ."
"23";"7";"put a stamp on the envelope and mail ."
"24";"1";"find a piece of paper ."
"24";"2";"write a note on the paper ."
"24";"3";"put the note in an envelope ."
"24";"4";"write an address on the envelope ."
"24";"5";"put a stamp on the envelope ."
"24";"6";"seal envelop ."
"24";"7";"put envelope in mail ."
"25";"1";"find a piece of paper ."
"25";"2";"write a note on the paper ."
"25";"3";"put the note in an envelope ."
"25";"4";"write an address on the envelope ."
"25";"5";"put a stamp on the envelope ."
"25";"6";"seal envelop ."
"25";"7";"put envelope in mail ."
"26";"1";"find paper ."
"26";"2";"find pen ."
"26";"3";"sit at a desk or table ."
"26";"4";"use pen to write letter on to paper ."
"26";"5";"sign your name ."
"26";"6";"write on envelope ."
"26";"7";"send letter ."
"27";"1";"pick up a pen ."
"27";"2";"write a letter ."
"28";"1";"pick up a pen ."
"28";"2";"write a letter ."
"29";"1";"pick up a pen ."
"29";"2";"write a letter ."
"30";"1";"pick up a pen ."
"30";"2";"write a letter ."
"31";"1";"pick up a pen ."
"31";"2";"write a letter ."
"32";"1";"pick up a pen ."
"32";"2";"write a letter ."
"33";"1";"pick up a pen ."
"33";"2";"write a letter ."
"34";"1";"pick up a pen ."
"34";"2";"write a letter ."
"35";"1";"pick up a pen ."
"35";"2";"write a letter ."
"36";"1";"get paper ."
"36";"2";"pick up pen ."
"36";"3";"write on paper ."
"36";"4";"put letter in envelope ."
"36";"5";"mail letter ."
"37";"1";"get paper ."
"37";"2";"get pen ."
"37";"3";"set pen and paper on desk ."
"37";"4";"sit at a desk ."
"37";"5";"begin writing ."
"38";"1";"get paper ."
"38";"2";"get pen ."
"38";"3";"set pen and paper on desk ."
"38";"4";"sit at a desk ."
"38";"5";"begin writing ."
"39";"1";"get paper ."
"39";"2";"get pen ."
"39";"3";"set pen and paper on desk ."
"39";"4";"sit at a desk ."
"39";"5";"begin writing ."
"40";"1";"get paper ."
"40";"2";"get pen ."
"40";"3";"sit at desk or table ."
"40";"4";"put paper down on desk or table ."
"40";"5";"put pen to paper to form words ."
"41";"1";"get paper ."
"41";"2";"get pen ."
"41";"3";"sit at desk or table ."
"41";"4";"put paper down on desk or table ."
"41";"5";"put pen to paper to form words ."
"42";"1";"get paper ."
"42";"2";"get pen ."
"42";"3";"sit at desk or table ."
"42";"4";"put paper down on desk or table ."
"42";"5";"put pen to paper to form words ."
"43";"1";"get paper ."
"43";"2";"get pen ."
"43";"3";"sit at desk or table ."
"43";"4";"put paper down on desk or table ."
"43";"5";"put pen to paper to form words ."
"44";"1";"paper ."
